line_count,en,lt
100,At the vegetable stand,Prie daržovių prekystalio
101,A long cucumber please.,Man prašau ilgą agurką.
102,Anything else?,Dar ką nors?
103,"Yes, A nice, lettuce  please.","Taip, prašau gražių salotų."
104,"Three Litas , please.",Trys litai.
105,Here is a twenty Litas  note.,Štai dvidešimt litų.
106,"Thanks. And here's a ten Litas note and  one, two, three, four, five, six, seven Litas back.","Ačiū. Dešimt litų ir vienas, du,  trys, keturi, penki, šeši, septyni litai  grąžos."
107,Thank you.,Ačiū.
108,At Sigita's,Pas Sigitą
109,I am hungry; you as well?,"Aš alkanas(-a), o tu?"
110,Yes. When is lunch then?,Taip. Kada priešpiečiai?
111,Any minute now. The sun is  shining. We could have lunch on the balcony.,Už kelių minučių. Saulė šviečia. Galėtumėm  valgyti balkone.
112,Teriffic. I lay the table. What we have then?,Puiku. Aš padengsiu stalą. Ką mes valgysim?
113,"Cheese Šeduva, eggs and  salad. Would you like omelet?","Šeduvos sūrį, kiaušinius ir salotas.  Gal norėtum omleto?"
114,"Omelet? Yuck, I don't like that.","Omleto? Ačiū, bet aš nemėgstu."
115,I've got some rolls as well.,Aš dar turiu keletą bandelių
116,"Yes, some rolls please.",Porą bandelių prašom.
117,Can we meet this  morning?,Ar galėtumėm šiandien  susitikti?
118,"Yes, that's possible.","Taip, galim."
119,At 9 o'clock perhaps?,Gal 9 valandą?
120,"No, that won't do.","Ne, man netinka."
121,I want to go shopping first and the shops open at  8:30.,"Aš norėčiau eiti apsipirkti, o parduotuvės dirba nuo 8:30."
122,Half past ten is fine.,Tada būtų gerai puse  vienuoliktos.
123,All right then. At 10:30.,"Puiku, puse vienuoliktos."
124,Where shall we meet?,Kur mes susitiksime?
125,Perhaps in front of the Hermis bank?,Gal prie Hermio banko?
126,"Oh no, not there.","Oi ne, ne ten."
127,"Better opposite, in the Cafe ""Neringa"".","Geriau kitoje pusėje, Neringos kavinėje."
128,All right. I'll be there at half past ten.,"Gerai, aš būsiu ten puse  vienuoliktos."
129,In the men's outfitter's,Vyriškų drabužių  parduotuvėje
130,Good afternoon.,Laba diena.
131,What can I do for you?,Kuo galiu padėti?
132,I'd like a pair of socks. Cotton please.,Norėčiau keletą porų medvilninių  kojinių
133,What size do you take?,Kokio dydžio?
134,I take shoe size 9-9,Aš nešioju 43 dydį.
135,These here are all 70% cotton and 30% nylon.,Štai šitose yra 70% medvilnės  ir 30% neilono.
136,We don't have any in pure. They are not very  practical either.,Mes neturime grynai medvilninių.  Jos nepraktiškos.
137,I am sorry.,Atsiprašome.
138,"Yes, that's a pity!",Gaila.
139,Good bye,Viso gero.
140,"In the Cafe ""Neringa"", ordering a cup of coffee","Neringos kavinėje, kavos užsakymas"
141,May I invite you to a cup of coffee?,Galiu Jus pakviesti puodukui  kavos?
142,Thank you. That's nice of you.,"Ačiū, Jūs labai maloni."
143,The cakes are very good.,Pyragaičiai labai skanūs.
144,Would you like a piece?,Norite dar gabaliuko?
145,"No thank you. Only a cup of black coffee, please.","Ne, ačiū. Tik juodos kavos,  prašom."
146,"Waiter! A cup of coffee without cream and a little jug of coffee, please.","Padavėjau, puodelį juodos kavos  be grietinėlės ir kavinuką kavos  prašom."
147,Could you please pass the sugar?,Galite man paduoti cukraus?
148,Here you are.,Prašau.
149,At a Party,Priėmime
150,Here is the wine.,Štai vynas.
151,Would you like some?,Ar norėtumėte?
152,Yes please.,"Taip, prašau."
153,Here comes our hostess.,Ateina mūsų šeimininkė.
154,"Good arternoon, Mr Becker.","Laba diena, ponia Becker."
155,I'm glad to see you.,Malonu Jus matyti.
156,"It is very warm today, don't you think so?","Labai šilta šiandien, ar ne  tiesa?"
157,"Yes, very warm indeed. I don't mind warm weather.","Taip, iš tikrųjų. Bet aš mėgstu šiltą orą."
158,It is really hot today.,Tikrai karšta šiandien.
159,You are wearing a jacket and tie.,Jus su švarku ir kaklaraiščiu.
160,You may take your jacket off if you want to.,"Galite nusirengti, jei norite."
161,In the Department  Store; to try something on,Universalinėje parduotuvėje; ką nors pasimatuoti
162,This dress is size 40.,Ši suknelė 40 dydžio.
163,That is too small for me.,Ji per maža man.
164,Have you not got it in 42?,Ar neturite 42 dydžio?
165,No I'm sorry.,"Gaila, neturime."
166,But do try it on.,Bet pasimatuokite.
167,It might fit.,Gal tiks.
168,All right then.,Na gerai.
169,Where is the changing room?,Kur galima  pasimatuoti?
170,"Over there, next to the  large mirror.","Štai ten, prie didelio veidrodžio."
171,Thank you,Ačiū.
172,Hotel  Astoria. To reserve room (by telephone),Viešbutis Astorija. Užsakyti kambarį (telefonu)
173,"Hotel  Astoria, Berlin, can I help you?","Viešbutis Astorija, Berlynas. Kuo galiu Jums padėti?"
174,Have you any  vacancies?,Ar  turite laisvų kambarių?
175,"Yes, we  have.","Taip, turime."
176,When would you  want them?,Kada norėsite?
177,"Tomorrow night  untill Thursday, for one night.","Rytoj  vakare iki ketvirtadienio, vienai nakčiai."
178,"Yes, we we've  still got rooms.",Taip dar turime laisvų kambarių.
179,What kind of  room would you like?,Kokio Jūs norėtumėte?
180,"Two single  rooms with bathroom, please.",Dvi vienutes su  voniomis.
181,Two single  with bath. O.K. What's the name please?,Dvi  vienutes su voniomis? Jūsų pavardė?
182,Wilson und  Holz. It's Miss Holz and myself.,Vilsonas ir  Holzas. Tai ponia Holz ir aš.
183,"I've written  it down, Mr.Wilson. Please report at the reception by 2 p.m. tomorrow. Otherwise we do not  guarantee the booking.","Aš užrašiau, ponas  Vilsonai. Prašau rytoj kreiptis į  registratūrą iki 14 val. Kitaip mes negarantuojame Jums kambario."
184,Thank  you; good-bye.,"Ačiū, viso gero."
185,A telegram; reading a message.,Telegramos  perskaitymas
186,Here  is a telegram for you.,Čia yra telegrama Jums.
187,For  me? How strange. Who sent it?,Man?  Keista. Nuo ko?
188,How  should I know? Open it and read it!,Aš nežinau. Atidaryk ir perskaityk!
189,Arrive  one day later - stop -please stay in Berlin - stop - sightseing perhaps? - stop - See you  later - stop - Peter H.,Atvykstu viena diena vėliau - taškas - pasilik Berlyne - taškas  - gal pasižvalgyk mieste - taškas - Pasimatysime - taškas - Peter H.
190,"Well,  are you staying?","Taigi,  pasilieki?"
191,Of  course I am!,"Na, žinoma!"
192,Another  message...Reading a bizarre message.,Dar viena žinutė
193,Have a  listen:  Do I come? - or do you come? Over the weekend or on Friday? In the castle or in the court  gardens? Where shall we meet?,"Klausyk,  aš atvykstu ar Tu atvyksti? Savaitgalyje ar penktadienį?  Pilyje ar pilies sode? Kur susitinkame?"
194,Who's sent  that then?,Kas tai siunčia?
195,"I don't  know,  no idea. Perhaps a ghostwriter?",Neįsivaizduoju. Gal dvasia?
196,Very  strange!,Labai keista!
197,Exactly as in  a thriller.,Kaip  detektyve.
198,There's no  parking here!,Čia  mašinas statyti draudžiama.
199,I didn't know  that. I will drive off immediatly.,Aš  nežinojau. Aš tuoj pat išvažiuosiu.
200,On weekends you  can park here.,Savaitgaliais  galima.
201,And what day is  it today?,O kokia  šiandien diena?
202,Today is  Wednesday.,Trečiadienis.
203,Wha t a  pity! But  I can't wait for 2 days!,Gaila. Bet aš  negaliu dvi dienas laukti.
204,And you are not  allowed to do so either!,"Gaila,  bet niekuo negaliu padėti."
205,Enquiring about public transport,Paklausti apie viešąjį transportą
206,Where  do you want to go?,Kur Jūs norėtumėte nueiti?
207,To  the castle please.,Į pilį.
208,By  tube or bus?,Metro ar autobusu?
209,Which  is the best?,O kaip geriau?
210,"By  tube it's faster, but the bus is cheaper.","Metro  - greičiau, o autobusu - pigiau."
211,I'll  take the bus.,Tada autobusu.
212,Which  number (bus) is it please?,Kuris autobusas?
213,Number  48; it goes directly to the castle.,48 numeris važiuoja  tiesiai prie pilies.
214,Where  is the stop?,Kur sustojimas?
215,"The  stop is right here, at the corner, on tie right hand side.","Sustojimas čia pat, už kampo, dešinėje pusėje."
216,"Oi the right, yes of cource, I almost forgot about that.",Dešinėje? Aš visai užmiršau.
217,Many thanks.,Didelis ačiū.
218,You're welcome.,Nėr už ką.
219,Describing  an accident,Avarija
220,What was that?,Kas atsitiko?
221,"An accident,  in Kantstrasse.",Avarija Kanto gatvėje.
222,How did it happen?,Kaip tai  buvo?
223,The traffic  lights at the crossing are not working. Three cars have collided.,Šviesoforas kryžkelėje nedirba. Susidūrė trys  automobiliai.
224,Is somebody injured?,Ar kas nors sužeistas?
225,"Yes, two  drivers are badly injured' the other passengers only slightly, thank goodness.","Taip, du vairuotojai sunkiai sužeisti, ačiū Dievui - kiti nesunkiai."
226,Whenn did it  happen then?,Kada tai  atsitiko?
227,Ten minutes  ago. Somebody rang the ambulance.,Prieš dešimt minučių. Kažkas iškvietė greitąją.
228,It will be  here soon.,Ji greitai  atvyks.
229,"I hope so. The  traffic looks like chaos, don't you think?","Tikėkimės. Toks didelis judėjimas, ar ne?"
230,Difficulties  on the phone (to complain about an order,Apie  nesusipratimus telefonu
231,"Sauer & Co., hello.","Alio, Sauer  & Co."
232,Good morning.  Becker fashions. We received your parcels this morning.,Labas rytas. Bekerio mados. Šiandien gavome Jūsų siuntinį.
233,Which parcel  are you talking about?,Apie kurį siuntinį Jūs kalbate?
234,The delivery  of socks.,Siuntinys su kojinėmis.
235,Now I remember. Good.,Prisimenu.
236,I'm pleased.,"Gerai, kad  gavote."
237,"No, not good  at all.",Visai ne  gerai.
238,There are as  many as 300 pairs of grey socks.,Jame 300 porų pilkų kojinių.
239,That's right.,Teisingai.
240,"No, it's not  right. Miss...","Ne,  neteisingai, panele..."
241,"Mrs., if you  please, Mrs. Ernst.",Ponia...  Ponia Ernst.
242,"Mrs. Ernst, we  didn't actually order 300 pairs of grey socks.","Ponia Ernst, mes iš tikrųjų neužsakėme 300 porų pilkų kojinių."
243,"Oh, yes, you  did. I've got it here in the books.",Užsakėte. Aš matau knygoje.
244,"Mrs. Ernst,  something must be wrong there. We ordered 30 pairs of grey socks, not 300.","Ponia Ernst, kažkas čia negerai. Mes užsakėme 30 porų pilkų kojinių, o  ne 300."
245,Not 300 then?,Ne 300?
246,"Oh well, send  those you don't want back to us.","Ach, išsiųskite mums, jeigu Jūs jų nenorite."
247,Goodbye.,Viso gero.
248,"I don't know  what to say, but what I can do?","Aš tiesiog nežinau, ką pasakyti. Bet ką aš galiu padaryti?"
249,A meeting  on the plane,Susitikimas lėktuve
250,"Hello, Mrs Schmidt.","Sveika, ponia  Šmidt."
251,What a  surprise to meet you here on the plane!,Koks netikėtumas Jus čia lėktuve sutikti!
252,Yes. Isn't it?,Tikrai?
253,How are you?,Kaip sekasi?
254,"I'm fine  thanks, and how are you?","Puikiai, o  Jums?"
255,Where are you  going to?,Kur Jūs vykstate?
256,I'm going to  visit my son. He is living in Switzerland now. And what about you?,Ruošiuosi aplankyti savo sūnų. Jis gyvena Šveicarijoje. O Jūs?
257,I'm on  business again. I often fly on this route.,Aš vėl komandiruotėje. Aš dažnai skrendu šiuo maršrutu.
258,I see. How  often then?,Matau. Kaip dažnai?
259,About 2-3  times per month.,Maždaug tris kartus per mėnesį
260,I'm only  flying for the second time today!,O aš skrendu šiandien antrą kartą!
261,No wonder that  we don't meet more then!,"Ne nuostabu, kad mes ne dažnai susitinkame!"
262,Talking  about interests,Pokalbis apie pomėgius
263,What are you  interested in?,Kuo Jūs domitės?
264,That depends.  I'm interested in many things.,Kaip čia pasakius? Aš domiuosi daugeliu dalykų.
265,Are you  interested in art?,Ar Jūs domitės menu?
266,What kind of  art do you mean?,Žiūrint ką Jūs turite galvoje?
267,Paintings.,Tapybą.
268,"Oh yes, I'm  very interested in paintings.",O taip. Man  patinka tapyba.
269,What kind of  paintings are you particularly interested in?,Kokia tapybos rūšimi Jūs daugiausiai domitės?
270,Expressionist  paintings like the ones by Kandinsky and Schmidt-Rotluf for  example. I like both very much.,"Ekspresionistai, pavyzdžiui tokie kaip Kandinskis ir  Šmidt-Rotlufas. Aš juos abu mėgstu."
271,So you are  only interested in modern art?,"Taigi, Jūs domitės tik moderniu menu?"
272,"No, I'm also  interested in the impressionists, but not as much.","O ne. Man  patinka ir impresionistai, nors ne perdaug."
273,"I 'm not  interested in paintings at all, only in photography.",O man visai  nepatinka tapyba. Aš domiuosi fotografija.
274,Talking  about the weather,Pokalbis apie orą
275,Do you know  what the weather is going to be like?,"Ar žinote, koks bus oras?"
276,"Yes, I happen  to know it; I've seen the weather report.","Taip, atsitiktinai perskaičiau orų prognozę."
277,What's the  weather like in London?,Koks bus oras  Londone?
278,In London  it's cool; but it's going to improve.,"Bus vėsu, bet žada pasitaisyti."
279,And what's  the weather in Berlin going to be like?,O koks bus  oras Berlyne?
280,"Here it's  going to stay warm, just as yeterday. Here it's going to be a lovely  summer.","Ž  ada būti  saulėtas ir šiltas, toks kaip vakar. Puiki vasara!"
281,You are quite  right.,Jūs teisus.
282,It's fairly  warm already.,Jau net dabar  šilta.
283,"According to  the report, we will get as much as 30o centigrade today.",Pagal prognozę bus šiandien 30  o šilumos.
284,Do  you like it?(To express likes),Ar  Jums patinka?
285,Do you like  Berlin?,Ar patinka  Jums Berlynas?
286,"Oh, yes very  much.","Taip, labai  patinka."
287,What do you  like best?,O kas  daugiausiai patinka?
288,I like the  National Gallery and Schloss Charlottenburg best.,Daugiausiai Nacionalinė galerija ir Šarlotenburgo pilis.
289,But also like  the Court Gardens.,Taip pat  patinka pilies sodas.
290,Would you like  to live in Berlin?,Ar norėtumėte gyventi Berlyne?
291,"Oh  yes, that  would be good. I would speak German a lot better then.",Tai būtų puiku. Aš geriau kalbėčiau vokiškai.
292,Where do you  live then?,Kur Jūs gyvenate?
293,"I live in  London, and you?","Aš gyvenu Londone, o Jūs?"
294,"I have been  living here in the ""Spreemetropolis' for the past 40 years. I'm a genuine Berliner.",Aš gyvenu čia Šprimetropolyje jau keturis metus. Esu tikras  berlynietis.
295,To  discuss methods of payment,Apie mokėjimo būdus
296,That comes to  125 marks 50.,Tai bus 125 markės ir 50.
297,"I haven't got  that much on me, sorry.","Gaila, prie savęs aš neturiu tiek daug."
298,That doesn't  matter. You can pay by credit card.,Tai nieko. Jūs galite mokėti kreditine kortele.
299,Do you also  take cheques?,O ar galiu čekiais?
300,"Yes, if you  have a valid cheque card (on you).","Taip, jeigu  jie galiojantys."
301,"Yes, of course.","Taip, žinoma."
302,All right  then. Please make the cheque payable to Zille and Co.,Gerai. Išrašykite tada čekį Ciles ir Ko vardu.
303,And here is  my cheques card.,"Štai čekis, prašau."
304,"Ah,  see, you  are English? You speak German very well.","Ach, Jūs anglas? Bet Jūs kalbate puikiai vokiškai."
305,Congratulations!,Sveikinu!
306,Thank you  very much.,Ačiū.
307,To  express quality,Apie dovanas (kokybė)
308,Have a look at  the present I bought.,"Pažiūrėk, kokią dovaną aš nupirkau."
309,"Oh, a  wallet,  made of leather.","O, piniginė, ir odinė."
310,Who is it  for.,Kam tai?
311,"For  Max, for  his birthday.","Maksui, jo  gimtadienis."
312,I bought a  spectacle case made from a nice piece of cloth for him; and from his girlfriend he is  getting a genuine silver ring.,O aš nupirkau jam dėklą akiniams iš gražios medžiagos o nuo  savo mergaitės jis gaus tikrą sidabrinį žiedą.
313,Really?,Tikrai?
314,"Yes, made of  real silver.","Taip, tikrą sidabrinį."
315,He is well off  this year.,Jam sekasi  šiemet.
316,To  describe a person,Apibūdinti asmenį
317,Could you  please meet my uncle at 12.57?,Ar negalėtum 12.57 sutikti mano dėdę?
318,I'm  busy.,Aš neturiu  laiko.
319,"From the  station, you mean?","Turi galvoje,  nuo stoties?"
320,"Okay, what  does he look like?","Na gerai, o  kaip jis atrodo?"
321,"He is very  tall, about 6', and he's rather fat.","Jis labai  aukštas, apie 1,8 m, ir pilnas"
322,Does he wear  glasses?,Ar jis  nešioja akinius?
323,"Yes, and he is  always very elegantly dressed. Most of the time in a dark suit, and he is always carrying  a briefcase.","Taip, jis visada apsirengęs elegantiškai. Dažniausiai tamsiu  kostiumu, visada su portfeliu."
324,There are  hundreds of those types. What's his name then?,Tokių šimtai. Koks gi jo vardas ir pavardė?
325,"Heinrich  Meier, the same as me.","Henrikas  Mejeris, kaip ir aš."
326,Get  well wishes,Palinkkėimai pasveikti.
327,Have you  anything planned for today?,Ar ką nors šiandien planavai?
328,"Yes, I have to  go to the hospital.","Taip, turiu nueiti į ligoninę."
329,"Oh, what's  hapenned then?",O kas  atsitiko?
330,My granndad is  in hospital.,Mano senelis ligoninėje.
331,I'm going to  visit him,Norėčiau jį aplankyti.
332,"He's had an  accident, you know.","Tu gi žinai, jis buvo papuolęs į avariją."
333,"Oh,  dear, how  is he then?",O kaip jis  dabar?
334,"He's better  now, thank goodness.","Ačiū Dievui, dabar jaučiasi geriau."
335,"He has had a  car accident, you know,","Tai buvo automobilio avarija, tu žinai."
336,"Well, when I  think of it, I feel sort of queasy.(lit.)","Kai aš apie  tai galvoju, man tiesiog bloga."
337,"I'm sorry for  him. He meant to fly to Zurich, didn't he?","Man gaila. Jis norėjo į Ciuriką skrįsti, ar ne?"
338,Yes today  (exactly). He was really unfortunate.,"Tiksliai,  šiandien. Jam tiesiog nepasisekė."
339,Ich wish him a  speedy recovery.,Linkiu jam kuo greičiau pasveikti.
340,Thanks. Bye  for now.,Ačiū. Kol kas.
341,Cheers.,Iki.
342,The  mysterious briefcase,Paslaptingas  portfelis
343,"Well,  Mrs. B.  I say, your briefcase looks very smart.","O, ponas B., Jūsų portfelis atrodo labai įdomiai."
344,What have you  got in it?,Ką Jūs ten turite?
345,"I don't know  myself, actually.",Aš iš tikrųjų pats nežinau.
346,What? Do you  mean that you don't know what's in your case?,"Ką? Jūs sakote, kad pats nežinote, ką turite portfelyje?"
347,That's what I  said.,"Taip, kaip girdėjote."
348,Don't you want  to know it?,Ir nenorite žinoti?
349,Of course I do.,"Žinoma, noriu."
350,Then I would  certainly feel better.,Jausčiausi tada geriau.
351,Why don't you  have a look then?,Tai kodėl tada nepažiūrite?
352,"Okay then;  here, look for yourself.","Gerai,  pažiūrėk pats."
353,"Only papers,  nothing but papers.","Nieko, tik  popieriai."
354,Are you  feeling better now?,Ar dabar Jums  geriau?
355,"At a  Party,  talking about a family.","Vakarėlyje,  apie šeimą"
356,We haven't seen  each other for ages. How are your children?,Šimtą  metų nesimatėme. Kaip Jūsų vaikai?
357,"You have got  two,  haven't you?","Jūs  turite du, ar ne?"
358,That's  right.  Since we last met my daughter has married.,"Taip.  Nuo to laiko, kai buvome susitikę, mano duktė ištekėjo."
359,"Your daughter is  a doctor, isn't she?","Jūsų  duktė gydytoja, ar ne?"
360,"No, my wife is a  doctor.","Ne,  mano žmona yra gydytoja."
361,"My daughter is  still at university, and my son as well.","Mano  duktė dar studijuoja universitete, taip pat ir sūnus."
362,What do they  study then?,Ką jie  studijuoja?
363,Both the same  subject.,Abu  tą patį dalyką.
364,Business  management.,Vadybą.
365,And your  children? What do they do?,O  Jūsų vaikai? Ką jie veikia?
366,I have no  children.,Aš  neturiu vaikų.
367,"I'm not  married, either.",Ir  nesu vedęs.
368,You must be  thinking of my sister.,Jūs  tikriausiai galvojate apie mano seserį?
369,She has two  children.,Ji turi du  vaikus.
370,Holidays,Atostogos
371,How was your  holiday then?,Kaip Tavo  atostogos?
372,Great. We've been  to South Germany by car.,Puikiai.  Mes keliavome po pietinę Vokietiją automobiliu.
373,I don't know  South Germany.,Aš  visai nežinau pietinės Vokietijos.
374,"Oh, the area is  wonderful! Meadows, woods, mountains, mountain lakes. We loved it!","O,  vietos puikios! Pievos, miškai, kalnai, ir ežerai. Mums labai patiko."
375,What was the  weather like?,O koks buvo  oras?
376,We had 7 days  rain and 3 days of sunshine!,"Septynias  dienas lijo, o tris - švietė saulė!"
377,Plans for a  picnic. Making sugestions.,Iškylos  planavimas. Pasiūlymai.
378,Are you  hungry?  Or not yet?,"Ar Tu jau  alkanas, ar dar ne?"
379,I'm hungry and  thirsty.,Aš  alkanas ir ištroškęs.
380,Shall we have our  picnic?,Ar jau  valgysime?
381,That's a great  idea. Where shall we have the picknic?,Tai  puiki mintis. Kur bus mūsų piknikas?
382,I suggest in the  court gardens.,Siūlau  pilies sode.
383,"Yes, that's  grand. Afterwards we can go inside and have a look around. I would like to see the  porcelain collection.","O,  mes galime eiti į vidų ir apžiūrėti pilį. Aš norėčiau pamatyti porceliano  kolekciją."
384,It's very  famous.  It contains all the original pieces from the 18th century.,"Ji  gana garsi. Visi daiktai originalūs, iš 18 amžiaus."
385,I've heard about  that. I hope we won't break anything.,"Aš  girdėjau apie tai. Tikiuosi, mes jų nesudaužysime."
386,Don't  worry! It's  all behind glass.,Nesijaudink! Jie  visi po stiklu.
387,Turning up late for an appointment,Vėlavimas  į susitikimą
388,It's now twenty  past 12.,Jau  20 minučių po dvyliktos.
389,I had expected  you at 12.,Aš  Jūsų laukiau dvyliktą.
390,But you are quite  out of breat!.,Bet  Jūs gi uždusęs!
391,I'm sorry. I had  (really) bad luck. This is a black day for me.,"Atsiprašau, bet  man labai nesisekė. Nesėkminga diena."
392,Everything went  wrong.,Viskas buvo  blogai.
393,What do you mean?,Ką Jūs turite galvoje?
394,"Well, the train  arrived late.","Nagi,  traukinys vėlavo."
395,Then I couldn't  get a taxi; and besides the lift here isn't working either.,"Po  to negalėjau rasti taksi, be to čia ir liftas nedirba."
396,I must say that's  really too bad. First get your breath back.,Tikrai blogai. Bet pirmiausia atgaukite kvapą. Atsisėskite.
397,"Thanks. No  wonder, today is Friday the 13th.","Nieko  nuostabaus, šiandien vasario 13 diena."
398,To express  surprise and disbelief,Išreikšti  nustebimą ir netikėjimą
399,I have a surprise  for you.,Turiu  Tau siurprizą.
400,"What is it,  please do tell me!","Kas tai,  pasakyk."
401,Have a quess.,Spėk.
402,What could it be?  I have no idea.,Kas  tai galėtų būti. Neturiu supratimo.
403,Imagine you had  won the pools.,"Įsivaizduokite,  išlošėte."
404,What do you mean?,Ką  Jūs turite galvoje?
405,As I said: You  have won a huge amount of money.,Aš  gi pasakiau. Jūs laimėjote krūvą pinigų.
