line_count;en;lt;translated_text;error_code
58;Yumm, that smells good.;Hm, kvepia puikiai;Hm, kvepia puikiai;0
59;I'd like two rolls;Norėčiau dviejų;Norečiaus piliakalnis;12, 12, 13
60;One roll with seeds and a soft roll with butter and honey;Vieną bandelę su aguonomis ir vieną minkštą su sviestu  ir medumi;Viena bandelė su aguonomis ir viena ranka su sviestu ir medumi;9, 9, 9, 13
61;I would also like a glass of orange juice and a cup of coffee  please;Taip pat norėčiau stiklinę apelsinų sulčių ir puodelį  kavos.;Taip pat norėčiau Stiklinė apelsinų sulčiaspaudės ir puodelės kavos.;12, 9, 13, 9
62;Another coffee?;Dar kavos?;Dar kava?;9
63;Yes please;Taip, ačiū;Taip, ačiū;0
64;The waitress smiles;Padavėjas šypsosi;Padavėjas šypsosi;0
65;Where do you live then?;Kur Jūs gyvenate?;Kur mes gyvenate?;13
66;I live in Toronto;Aš gyvenu Toronte;Aš givenu Toronte;12
67;Is this your's first visit to Vilnius?;Ar Jūs pirmą kartą Vilniuje?;Ar mes perkam kartu Vilniuje?;13, 13, 13
68;Yes, I like Vilnius;Taip, man patinka Vilnius;Taip, vyras patinka Vilnius;13
69;Do you understand my Lithuanian?;Ar Jūs mane suprantate?;Ar Jūs mane suprantate?;0
70;Yes, your Lithuanian is good;Taip, Jūs puikiai kalbate lietuviškai.;Taip, Jūs puikiai lietuviški.;3, 11
71;I can understand a lot, but please speak slowly;Taip, aš daug suprantu, bet kalbėkite lėčiau prašom;Taip, aš daug daugiau suprantu, bet kalbėti lėčiau prašom;1, 11
72;The Clock.;Laikrodis;Laikrodis;0
73;It is ten o'clock.;Dabar dešimt valandų.;Dabar dešimtų valandų.;0
74;It is ten fifteen.;Penkiolika minučių po dešimtos.;Penkiolika minučių po dešimtos.;0
75;Quarter past ten.;Ketvirtis vienuoliktos.;Ketvirtis vienuolikos.;0
76;It is ten thirty or half past ten.;Dešimt valandų trisdešimt minučių arba puse vienuoliktos.;Dešimt valandinių trisdešimt minučių arba pause vienuolikos.;13, 8, 12
77;It is ten forty five or quarter to eleven.;Dešimt valandų keturiasdešimt penkios minutės arba be penkiolikos  minučių vienuolika.;Dešimt valandinių keturijųdešimt penkios minutės arba be penkiolikos minučių vienuolika.;13, 12
78;On telephone;Pokalbis telefonu;Pokalbis telefonu;0
79;Hello Sigita, here is Kathleen.;Sveika Sigita, čia Katlyna.;Sveika Sigita, čia Katlyna.;0
80;Hello, how are things?;Sveika, kaip sekasi?;Sveikas, kaip sekasi?;9
81;Fine, thank you.;Ačiū, puikiai.;Ačiū, puikiai.;0
82;I'm going shopping in a minute.;Aš einu dabar apsipirkti.;Iš čia svečiai gali mėgautis lengvu susisiekimu.;16
83;So am I. I'm going to the market.;Aš taip pat. Ruošiuosi eiti į turgų.;Iš čia svečiai gali mėgautis lengvu susisiekimu.;16
84;Oh yes, today is market day.;O, šiandien juk turgaus diena.;O, šiandien juk turgaus diena.;0
85;Then I'll go to the market as well.;Tada aš irgi eisiu į turgų.;Tada aš irgi eisiu į turgų.;0
86;Shall we meet?;Ar susitiksime?;Ar susitiksime?;0
87;Is that possible?;Ar tai įmanoma?;Ar tai yra įmanomos?;2, 11
88;Yes, that is possible. Where shall we meet then?;Taip, kur galėtumėm susitikti?;Taip, kur galėtumėm susitaikyti?;13
89;At the first stall.;Prie pirmo prekystalio.;Prie pirmo prekystalio.;0
90;When shall we meet?;Kada?;Kada?;0
91;At 10 o'clock sharp. Is that all right?;Tiksliai dešimtą. Ar tinka?;Tiksliai dešimtą. Ar tinka?;0
92;What's the time now?;Kiek dabar?;Kiekas Dabaras?;13
93;Nearly ten.;Greitai dešimt.;Greitai dešimt.;0
94;"Good-bye; see you in a minute then.";Iki. Greitai pasimatysime.;Iki. Greitai pasimatysime.;0
95;On the market;Turguje;Turgujė;9
96;Yum, the strawberries smell lovely.;Ach, kaip puikiai kvepia braškės.;Ach, kaip puikiai kvepia braškės.;0
97;Yes, strawberries are my favorite.;O, braškės mano mėgstamiausios uogos.;O, braškes mano megstamiausios uogos.;9, 12
98;But Ana, the strawberries are not  fresh.;Bet Ana, braškės ne šviežios.;Bet Ana, braškės ne Šviesios.;12, 13
99;Not fresh? What a pity!;Ne šviežios? Kaip gaila!;Ne Šviesios? Kaip gaila!;12, 13
100;At the vegetable stand;Prie daržovių prekystalio;Prie Daržovių prekybos centro;12, 10
101;A long cucumber please.;Man prašau ilgą agurką.;Man prašau lgą gurką.;12, 12
102;Anything else?;Dar ką nors?;Dar ką nors?;0
103;Yes, A nice, lettuce  please.;Taip, prašau gražių salotų.;Taip, prašau graikų salotų.;13
104;Three Litas , please.;Trys litai.;Išbando litai.;13
105;Here is a twenty Litas  note.;Štai dvidešimt litų.;Štai dvidešimt litų.;0
106;Thanks. And here's a ten Litas note and  one, two, three, four, five, six, seven Litas back.;Ačiū. Dešimt litų ir vienas, du,  trys, keturi, penki, šeši, septyni litai  grąžos.;Ačiū. Dešimt litų ir vienas, du, tries, keturi, penki, šeši, septyni litai gr<unk> os.;12, 11
107;Thank you.;Ačiū.;Ačiū.;0
108;At Sigita's;Pas Sigitą;Pas Sigitą;0
109;"I am hungry; you as well?";Aš alkanas(-a), o tu?;Aš alkanas (-a), o tu?;0
110;Yes. When is lunch then?;Taip. Kada priešpiečiai?;Taip. Kada priešpiečiai?;0
111;Any minute now. The sun is  shining. We could have lunch on the balcony.;Už kelių minučių. Saulė šviečia. Galėtumėm  valgyti balkone.;Už kelių minučių. Saulė šviečia. Galetumem valgyti balkone.;12
112;Teriffic. I lay the table. What we have then?;Puiku. Aš padengsiu stalą. Ką mes valgysim?;Aš esu aš. Aš esu aš. Ką mes valgysim?;16
113;Cheese Šeduva, eggs and  salad. Would you like omelet?;Šeduvos sūrį, kiaušinius ir salotas.  Gal norėtum omleto?;Šeduvos sūris, kiaušinis ir salotas. Gal norėtum omleto?;9, 9
114;Omelet? Yuck, I don't like that.;Omleto? Ačiū, bet aš nemėgstu.;Omleto? Ačiū, lažintis, kad aš negėgstu.;13, 2, 12
115;I've got some rolls as well.;Aš dar turiu keletą bandelių;Aš dar turistinis kelias bandelių;13, 9
116;Yes, some rolls please.;Porą bandelių prašom.;Porų bandelių prašom.;13
117;Can we meet this  morning?;Ar galėtumėm šiandien  susitikti?;Ar gali būti, kad šindien susitikti?;13, 11, 2, 2, 12
118;Yes, that's possible.;Taip, galim.;Taip, galim.;0
119;At 9 o'clock perhaps?;Gal 9 valandą?;Gal 9 valandėlės?;11
120;No, that won't do.;Ne, man netinka.;Ne, netinka.;4
121;I want to go shopping first and the shops open at  8:30.;Aš norėčiau eiti apsipirkti, o parduotuvės dirba nuo 8:30.;Aš noriu eiti apsipirkti, o parduotuvės dirba nuo 8:30.;11
122;Half past ten is fine.;Tada būtų gerai puse  vienuoliktos.;Tadas Būtų Gerų Pesų Vienuolės.;16
123;All right then. At 10:30.;Puiku, puse vienuoliktos.;Puiku, puse vienuolikos.;11
124;Where shall we meet?;Kur mes susitiksime?;Kur mes susitiksime?;0
125;Perhaps in front of the Hermis bank?;Gal prie Hermio banko?;Gal prie Hermio banko?;0
126;Oh no, not there.;Oi ne, ne ten.;Oi ne, ne dešimt.;13
127;"Better opposite, in the Cafe ""Neringa"".";Geriau kitoje pusėje, Neringos kavinėje.;Geriau kitoje pusėje, Neringos kavinėje.;0
128;All right. I'll be there at half past ten.;Gerai, aš būsiu ten puse  vienuoliktos.;Gerai, aš būsiu dešimt pese vienuolikos.;13, 12, 11
129;In the men's outfitter's;Vyriškų drabužių  parduotuvėje;Vyriškų drabužių parduotuvė;9
130;Good afternoon.;Laba diena.;Laba diena.;0
131;What can I do for you?;Kuo galiu padėti?;Kuo gali būti padėta?;9, 2
132;I'd like a pair of socks. Cotton please.;Norėčiau keletą porų medvilninių  kojinių;Norėčiau kelių porų medvilninių kojinių;9
133;What size do you take?;Kokio dydžio?;Kokio dydžio?;0
134;I take shoe size 9-9;Aš nešioju 43 dydį.;Aš nešioju 43 dydį.;0
135;These here are all 70% cotton and 30% nylon.;Štai šitose yra 70% medvilnės  ir 30% neilono.;Štai šitose ira 70% medvilnės ir 30% neilono.;12
136;We don't have any in pure. They are not very  practical either.;Mes neturime grynai medvilninių.  Jos nepraktiškos.;Mes neurime grynai medvilninių. Jos nepraktiškosios.;12, 11
137;I am sorry.;Atsiprašome.;Asiprašom.;12
138;Yes, that's a pity!;Gaila.;Gaila.;0
139;Good bye;Viso gero.;Viso gero.;0
140;"In the Cafe ""Neringa"", ordering a cup of coffee";Neringos kavinėje, kavos užsakymas;Neringos kavinėje, kavinėje;11, 3
141;May I invite you to a cup of coffee?;Galiu Jus pakviesti puodukui  kavos?;Galiu jus pakvieti puodukui kavos?;12
142;Thank you. That's nice of you.;Ačiū, Jūs labai maloni.;Ačiū, Jūra Labai Maloni.;12, 12, 12
143;The cakes are very good.;Pyragaičiai labai skanūs.;Pyragaičių labai skanūs.;9
144;Would you like a piece?;Norite dar gabaliuko?;Norite dar gabaliuko?;0
145;No thank you. Only a cup of black coffee, please.;Ne, ačiū. Tik juodos kavos,  prašom.;Ne, ačiū. Tik juodos kavos, prašom.;0
146;Waiter! A cup of coffee without cream and a little jug of coffee, please.;Padavėjau, puodelį juodos kavos  be grietinėlės ir kavinuką kavos  prašom.;Padavėjai, puodelis į juodąsias kavas be grietinėlės ir kavinuko kava prašom.;9, 9, 2, 11, 12, 9, 9
147;Could you please pass the sugar?;Galite man paduoti cukraus?;Galite vyras paduoti cukraus?;13
148;Here you are.;Prašau.;Prašau.;0
149;At a Party;Priėmime;Priemė;12
150;Here is the wine.;Štai vynas.;Štai vynas.;0
151;Would you like some?;Ar norėtumėte?;Ar norėtutė?;12
152;Yes please.;Taip, prašau.;Taip, prašau.;0
153;Here comes our hostess.;Ateina mūsų šeimininkė.;Ateina mūsų šeimininkė.;0
154;Good arternoon, Mr Becker.;Laba diena, ponia Becker.;Laba diena, Ponia Beker.;12
155;I'm glad to see you.;Malonu Jus matyti.;Malonu Jus matyti.;0
156;It is very warm today, don't you think so?;Labai šilta šiandien, ar ne  tiesa?;Labai šilta shiandien, ar ne tiesa?;12
157;Yes, very warm indeed. I don't mind warm weather.;Taip, iš tikrųjų. Bet aš mėgstu šiltą orą.;Taip, aš tikrų. Lažinuosi, kad aš mėgstu šiltą arą.;13, 12, 13, 2
158;It is really hot today.;Tikrai karšta šiandien.;Tikrai karšta šindien.;0
159;You are wearing a jacket and tie.;Jus su švarku ir kaklaraiščiu.;Jus su švarku ir kaklaraiščiais.;9
160;You may take your jacket off if you want to.;Galite nusirengti, jei norite.;Galite nuirengti, jei norite.;12
161;"In the Department  Store; to try something on";"Universalinėje parduotuvėje; ką nors pasimatuoti";"Universalioje parduotuvėje; ką nors pasimatuoti";11
162;This dress is size 40.;Ši suknelė 40 dydžio.;Ši suknelė 40 dydžio.;0
163;That is too small for me.;Ji per maža man.;Ji per maža vyras.;13
164;Have you not got it in 42?;Ar neturite 42 dydžio?;Ar neturite 42 dydio?;12
165;No I'm sorry.;Gaila, neturime.;Gaila, neturime.;0
166;But do try it on.;Bet pasimatuokite.;Bet pasimatuokite.;0
167;It might fit.;Gal tiks.;Gal tiks.;0
168;All right then.;Na gerai.;Na gerai.;0
169;Where is the changing room?;Kur galima  pasimatuoti?;Kur galima pasimatuoti?;0
170;Over there, next to the  large mirror.;Štai ten, prie didelio veidrodžio.;Štai ten, prie didelio veidrodžio.;0
171;Thank you;Ačiū.;Ačiū.;0
172;Hotel  Astoria. To reserve room (by telephone);Viešbutis Astorija. Užsakyti kambarį (telefonu);Viešbutis Astorija. Užsakyta iš anksto (telefonu);11, 2, 13
173;Hotel  Astoria, Berlin, can I help you?;Viešbutis Astorija, Berlynas. Kuo galiu Jums padėti?;Viešbutis Astorija, Berlynas. Kuo gali būti Jums papėdė?;9, 2, 13
174;Have you any  vacancies?;Ar  turite laisvų kambarių?;Ar turit laisvų kambarių?;11
175;Yes, we  have.;Taip, turime.;Taip, turim.;11
176;When would you  want them?;Kada norėsite?;Kada norėsite?;0
177;Tomorrow night  untill Thursday, for one night.;Rytoj  vakare iki ketvirtadienio, vienai nakčiai.;Ryto vakare iki ketvirtadienio, vienų nakčių.;9, 9
178;Yes, we we've  still got rooms.;Taip dar turime laisvų kambarių.;Taip dar turim laisvų kambarių.;11
179;What kind of  room would you like?;Kokio Jūs norėtumėte?;Kokio Jus norėtutė?;12
180;Two single  rooms with bathroom, please.;Dvi vienutes su  voniomis.;Dvi vienetaitės su voniomis.;12
181;Two single  with bath. O.K. What's the name please?;Dvi  vienutes su voniomis? Jūsų pavardė?;DVI VIENUTĖS SU VONIOMIS?;12, 3, 3
182;Wilson und  Holz. It's Miss Holz and myself.;Vilsonas ir  Holzas. Tai ponia Holz ir aš.;Vilsonas ir Holzas. Tai ponia Holz ir aš.;0
183;I've written  it down, Mr.Wilson. Please report at the reception by 2 p.m. tomorrow. Otherwise we do not  guarantee the booking.;Aš užrašiau, ponas  Vilsonai. Prašau rytoj kreiptis į  registratūrą iki 14 val. Kitaip mes negarantuojame Jums kambario.;Aš užrišau, ponas Vilsonai. Prašau rytoj kreiptis į registratūrą iki 14 val. Kitap mes negarantuojame Jus kambario.;13, 12, 12
184;"Thank  you; good-bye.";Ačiū, viso gero.;Ačiū, viso gero.;0
185;"A telegram; reading a message.";Telegramos  perskaitymas;Telegramos perskaita;13
186;Here  is a telegram for you.;Čia yra telegrama Jums.;Čia yra telegrama Jums.;0
187;For  me? How strange. Who sent it?;Man?  Keista. Nuo ko?;Keista. Nuo ko?;3
188;How  should I know? Open it and read it!;Aš nežinau. Atidaryk ir perskaityk!;Aš nežinau. Atidaryk ir perskaityk!;0
189;Arrive  one day later - stop -please stay in Berlin - stop - sightseing perhaps? - stop - See you  later - stop - Peter H.;Atvykstu viena diena vėliau - taškas - pasilik Berlyne - taškas  - gal pasižvalgyk mieste - taškas - Pasimatysime - taškas - Peter H.;Atvykstu viena diena vėliau - taskas - tasilik Berlyne - taskas - gal pasižvalgyk mieste - taskas - pasimatysime - taskas - Peter H.;12, 12, 12, 12, 12
190;Well,  are you staying?;Taigi,  pasilieki?;Taigi, pasilieki?;0
191;Of  course I am!;Na, žinoma!;Na, žinoma!;0
192;Another  message...Reading a bizarre message.;Dar viena žinutė;Dar viena žiurė;13
193;Have a  listen:  Do I come? - or do you come? Over the weekend or on Friday? In the castle or in the court  gardens? Where shall we meet?;Klausyk,  aš atvykstu ar Tu atvyksti? Savaitgalyje ar penktadienį?  Pilyje ar pilies sode? Kur susitinkame?;Klausyk, aš esu atvykstu ar Tu atvyksti? Savaitgalyje ar penktadienyje? Pilyje ar pilies sode? Kur susiinkame?;2, 9, 12
194;Who's sent  that then?;Kas tai siunčia?;Kas tai siunčia?;0
195;I don't  know,  no idea. Perhaps a ghostwriter?;Neįsivaizduoju. Gal dvasia?;Neįsivaizduojama. Gal dvasia?;11
196;Very  strange!;Labai keista!;Labai keista!;0
197;Exactly as in  a thriller.;Kaip  detektyve.;Kaip detektyvas.;9
198;There's no  parking here!;Čia  mašinas statyti draudžiama.;Čia mašinas statyti draudžiama.;0
199;I didn't know  that. I will drive off immediatly.;Aš  nežinojau. Aš tuoj pat išvažiuosiu.;Aš nežinojau. Aš tavoj pat išvažiuoju.;13
200;On weekends you  can park here.;Savaitgaliais  galima.;Savaitgaliai galima.;9
201;And what day is  it today?;O kokia  šiandien diena?;O kokia šiandien diena?;0
202;Today is  Wednesday.;Trečiadienis.;Trečiadienis.;0
203;Wha t a  pity! But  I can't wait for 2 days!;Gaila. Bet aš  negaliu dvi dienas laukti.;Gaila. Bet aš negaliu dvi dieni laukti.;12
204;And you are not  allowed to do so either!;Gaila,  bet niekuo negaliu padėti.;Gaila, bet niekuo negaliu padėti.;0
205;Enquiring about public transport;Paklausti apie viešąjį transportą;Pakeliamas apie vie<unk> j<unk> transportas;13, 12, 12, 9
206;Where  do you want to go?;Kur Jūs norėtumėte nueiti?;Kur Jūs norėtutė nueiti?;12
207;To  the castle please.;Į pilį.;Įpilti.;13
208;By  tube or bus?;Metro ar autobusu?;Metro ar autobusu?;0
209;Which  is the best?;O kaip geriau?;O kaip geriau?;0
210;By  tube it's faster, but the bus is cheaper.;Metro  - greičiau, o autobusu - pigiau.;Metro - greičiau, o autobusu - pigiau.;0
211;I'll  take the bus.;Tada autobusu.;Tadas autobusu.;0
212;Which  number (bus) is it please?;Kuris autobusas?;Kuris autobusą?;9
213;"Number  48; it goes directly to the castle.";48 numeris važiuoja  tiesiai prie pilies.;48 numeris važiuoja tiesiai prie pilies.;0
214;Where  is the stop?;Kur sustojimas?;Kur sustojimas?;0
215;The  stop is right here, at the corner, on tie right hand side.;Sustojimas čia pat, už kampo, dešinėje pusėje.;Sustojimas čia pat, už kampo, dešinėje pusėje.;0
216;Oi the right, yes of cource, I almost forgot about that.;Dešinėje? Aš visai užmiršau.;Aš visau užmiršau.;3
217;Many thanks.;Didelis ačiū.;Didelis ačiū.;0
218;You're welcome.;Nėr už ką.;Nėr už ką.;0
219;Describing  an accident;Avarija;Avarija;0
220;What was that?;Kas atsitiko?;Kas pasitiko?;13
221;An accident,  in Kantstrasse.;Avarija Kanto gatvėje.;Avarija Kanto gatvėje.;0
222;How did it happen?;Kaip tai  buvo?;Kaip tai buvo?;0
223;The traffic  lights at the crossing are not working. Three cars have collided.;Šviesoforas kryžkelėje nedirba. Susidūrė trys  automobiliai.;Šviesoforas kryžkelėje nedirba. Susidūrė išbando automobilius.;13, 9
224;Is somebody injured?;Ar kas nors sužeistas?;Ar kas nors sužaisti?;12
225;Yes, two  drivers are badly injured' the other passengers only slightly, thank goodness.;Taip, du vairuotojai sunkiai sužeisti, ačiū Dievui - kiti nesunkiai.;Taip, du vairuotojai sužaisti, ačiū Dievui - kiti nesunkiai.;12
226;Whenn did it  happen then?;Kada tai  atsitiko?;Kada tai atsitiko?;0
227;Ten minutes  ago. Somebody rang the ambulance.;Prieš dešimt minučių. Kažkas iškvietė greitąją.;Prieš dešimt minučių. Kažkas išvežioja greitąją.;13
228;It will be  here soon.;Ji greitai  atvyks.;Ji greitai atvyks.;0
229;I hope so. The  traffic looks like chaos, don't you think?;Tikėkimės. Toks didelis judėjimas, ar ne?;Tikėkimės. Toks didelis judėjimas, ar ne?;0
230;Difficulties  on the phone (to complain about an order;Apie  nesusipratimus telefonu;Apie nesusipratimus telefonu;0
231;Sauer & Co., hello.;Alio, Sauer  & Co.;Alio, Sauer & Co.;0
232;Good morning.  Becker fashions. We received your parcels this morning.;Labas rytas. Bekerio mados. Šiandien gavome Jūsų siuntinį.;Labas rytas. Bekerio mados. Šiandienos gavome;11, 3, 3
233;Which parcel  are you talking about?;Apie kurį siuntinį Jūs kalbate?;Apie kurį siuntinį jūs kalbate?;14
234;The delivery  of socks.;Siuntinys su kojinėmis.;Siuntinys su kojinėmis.;0
235;Now I remember. Good.;Prisimenu.;Prisimenu.;0
236;I'm pleased.;Gerai, kad  gavote.;Gerai, kad gavote.;0
237;No, not good  at all.;Visai ne  gerai.;Visai ne gerai.;0
238;There are as  many as 300 pairs of grey socks.;Jame 300 porų pilkų kojinių.;Jame 300 porų pilkų kojinų.;0
239;That's right.;Teisingai.;Teisingai.;0
240;No, it's not  right. Miss...;Ne,  neteisingai, panele...;Ne, neteisingai, panele...;0
241;Mrs., if you  please, Mrs. Ernst.;Ponia...  Ponia Ernst.;Ponia... Ponia Ernst.;0
242;Mrs. Ernst, we  didn't actually order 300 pairs of grey socks.;Ponia Ernst, mes iš tikrųjų neužsakėme 300 porų pilkų kojinių.;Ponia Ernst, aš esu tikrų neužsakymas 300 porų pilkų kojinių.;9, 13, 12, 11
243;Oh, yes, you  did. I've got it here in the books.;Užsakėte. Aš matau knygoje.;Užsakyta iš anksto Aš matau knygoje.;11, 1, 1
244;Mrs. Ernst,  something must be wrong there. We ordered 30 pairs of grey socks, not 300.;Ponia Ernst, kažkas čia negerai. Mes užsakėme 30 porų pilkų kojinių, o  ne 300.;Ponia Ernst, kažkas čia negerai. Mes užsakinėjame 30 porų pilkų kojinių, o ne 300.;12
245;Not 300 then?;Ne 300?;Ne 300?;0
246;Oh well, send  those you don't want back to us.;Ach, išsiųskite mums, jeigu Jūs jų nenorite.;Ach, išsioskite mums, jeigu Jūsų nenorite.;12, 9, 1
247;Goodbye.;Viso gero.;Viso gero.;0
248;I don't know  what to say, but what I can do?;Aš tiesiog nežinau, ką pasakyti. Bet ką aš galiu padaryti?;Iš čia svečiai gali mėgautis lengvu susisiekimu.;16
249;A meeting  on the plane;Susitikimas lėktuve;Susitikimas lėkštuve;13
250;Hello, Mrs Schmidt.;Sveika, ponia  Šmidt.;Šveika, Ponia Šmidt.;12
251;What a  surprise to meet you here on the plane!;Koks netikėtumas Jus čia lėktuve sutikti!;<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>;16
252;Yes. Isn't it?;Tikrai?;Tikrai?;0
253;How are you?;Kaip sekasi?;Kaip sekasi?;0
254;I'm fine  thanks, and how are you?;Puikiai, o  Jums?;Puikiai, o Jusai?;12
255;Where are you  going to?;Kur Jūs vykstate?;Kur Jūs vykstate?;0
256;I'm going to  visit my son. He is living in Switzerland now. And what about you?;Ruošiuosi aplankyti savo sūnų. Jis gyvena Šveicarijoje. O Jūs?;Ruošiuosi aplaistytos savo sūnų. Jis gyvena Šveicarijuje. O mes?;13, 9, 9
257;I'm on  business again. I often fly on this route.;Aš vėl komandiruotėje. Aš dažnai skrendu šiuo maršrutu.;Aš esu čia. Aš esu čia. Aš esu čia.;16
258;I see. How  often then?;Matau. Kaip dažnai?;Matau, kaip dažnai?;12, 12
259;About 2-3  times per month.;Maždaug tris kartus per mėnesį;Maždaug tris kartus per mėnesį;0
260;I'm only  flying for the second time today!;O aš skrendu šiandien antrą kartą!;Iš čia svečiai gali mėgautis lengvumu!;16
261;No wonder that  we don't meet more then!;Ne nuostabu, kad mes ne dažnai susitinkame!;Ne nuostabu, kad mes ne dažnai susitinkame!;0
262;Talking  about interests;Pokalbis apie pomėgius;Pokalbis apie pomėgį;9
263;What are you  interested in?;Kuo Jūs domitės?;Kuo Jus domitės?;12
264;That depends.  I'm interested in many things.;Kaip čia pasakius? Aš domiuosi daugeliu dalykų.;Kaip čia pasakius? Aš domiesi daugeliukų.;12, 12, 3
265;Are you  interested in art?;Ar Jūs domitės menu?;Ar Jūsų namų meniu?;9, 13, 13
266;What kind of  art do you mean?;Žiūrint ką Jūs turite galvoje?;Žiūrėti ką Jūs turit gale?;11, 12, 13
267;Paintings.;Tapybą.;Tapybą.;0
