line_count,en,lt,translated_text
42,Would you like a room on the fifth  floor?,Ar norite kambario penktame aukšte?,Ar norite kambario penktame aukštai?
43,"Yes, please.","Taip, būtų gerai.","Taip, ūsų gerai."
44,In the morning,Ryte,Ryte
45,"Good morning, did you sleep well?",Labas rytas. Ar gerai miegojote?,Labas rytas. Ar gerai miegojote?
46,"Yes, thank you.","Taip, ačiū.","Taip, ačiū."
47,"The weather is fine now, isn't it?","Puikus oras, ar ne?","Ar puikus oras, ar ne?"
48,The rain has stopped.,Nustojo lyti.,Nustojo lyti.
49,"Yes, it's a fine day.","Taip, puiki diena.","Taip, puiki diena."
50,It's quite hot already.,Jau gana šilta.,Jauna gana šilta.
51,"What's the time, please?",Kiek dabar laiko?,Kiek dabar aiko?
52,Just a moment.,Tuoj pažiūrėsiu.,Tuoj pat pajūriu.
53,Nearly ten o'clock!,Tuoj dešimt!,Tuoj dešimt!
54,The Breakfast,Pusryčiai,Pusryčiai
55,"Good morning, how are you?","Labas rytas, kaip miegojote?","Labas rytas, kaip miegojote?"
56,"Good morning, what's there for  breakfast?",Labas rytas. Ką turite pusryčiams?,"Labas rytas. Ką tu turi, pusryčiams?"
57,"We have fresh  rolls: rolls with seeds or soft rolls with butter, honey or jam.","Turime šviežių bandelių: bandelių su aguonomis arba  minkštų bandelių su sviestu, medumi ar uogiene.","Turiminių blizgių bandelių: bandelių su aguonomis arba audinių bandelių su svestu, medumi ar uogiene."
58,"Yumm, that smells good.","Hm, kvepia puikiai","Hm, kvepia puikiai"
59,I'd like two rolls,Norėčiau dviejų,Norėčiau dviejų
60,One roll with seeds and a soft roll with butter and honey,Vieną bandelę su aguonomis ir vieną minkštą su sviestu  ir medumi,Vieną bandelę su aguonomis ir vieną pirštą su svestu ir medumi
61,I would also like a glass of orange juice and a cup of coffee  please,Taip pat norėčiau stiklinę apelsinų sulčių ir puodelį  kavos.,Taip pat norėčiau stilinę apelsinų sultimis ir puodelių kavomis.
62,Another coffee?,Dar kavos?,Dar kava?
63,Yes please,"Taip, ačiū","Taip, ačiū"
64,The waitress smiles,Padavėjas šypsosi,Padavėjas šypsosi
65,Where do you live then?,Kur Jūs gyvenate?,Kur mes gyvenate?
66,I live in Toronto,Aš gyvenu Toronte,Aš esu Toronte
67,Is this your's first visit to Vilnius?,Ar Jūs pirmą kartą Vilniuje?,Ar Jūs esate čia: Pradžia / Naujienos / Ar Jūs esate čia: Pradžia
68,"Yes, I like Vilnius","Taip, man patinka Vilnius","Taip, man patinka Vilnius"
69,Do you understand my Lithuanian?,Ar Jūs mane suprantate?,Ar jūs mane suprantate?
70,"Yes, your Lithuanian is good","Taip, Jūs puikiai kalbate lietuviškai.","Taip, Jūs puikiai lietuviški."
71,"I can understand a lot, but please speak slowly","Taip, aš daug suprantu, bet kalbėkite lėčiau prašom","Taip, aš esu daug daugiau, bet aš esu už tai, kad kalbėk lėčiau prašom"
72,The Clock.,Laikrodis,Laikrodis
73,It is ten o'clock.,Dabar dešimt valandų.,Dabarų valandėlių.
74,It is ten fifteen.,Penkiolika minučių po dešimtos.,Penkiolika minučių po dešimtos.
75,Quarter past ten.,Ketvirtis vienuoliktos.,Ketvirtis vienuolikas.
76,It is ten thirty or half past ten.,Dešimt valandų trisdešimt minučių arba puse vienuoliktos.,Dešimčių valandėlių trisdešimtų minučių arba pauzių vienuolikos.
77,It is ten forty five or quarter to eleven.,Dešimt valandų keturiasdešimt penkios minutės arba be penkiolikos  minučių vienuolika.,Dešimčių valandėlių keturijasdešimt penkios minutės arba be penkiolikos minučių vienuolika.
78,On telephone,Pokalbis telefonu,Pokalbis telefonu
79,"Hello Sigita, here is Kathleen.","Sveika Sigita, čia Katlyna.","Sveta Sigita, čia Katlyna."
80,"Hello, how are things?","Sveika, kaip sekasi?","Sveikas, kaip sekasi?"
81,"Fine, thank you.","Ačiū, puikiai.","Ačiū, puikiai."
82,I'm going shopping in a minute.,Aš einu dabar apsipirkti.,Aš esu čia.
83,So am I. I'm going to the market.,Aš taip pat. Ruošiuosi eiti į turgų.,Aš esu čia. Ruošiuosi eiti į turgų.
84,"Oh yes, today is market day.","O, šiandien juk turgaus diena.","O, šiandien juk turgaus diena."
85,Then I'll go to the market as well.,Tada aš irgi eisiu į turgų.,Tada aš irgi eisiu į turgų.
86,Shall we meet?,Ar susitiksime?,Ar susitiksime?
87,Is that possible?,Ar tai įmanoma?,Ar tai yra įmanomos?
88,"Yes, that is possible. Where shall we meet then?","Taip, kur galėtumėm susitikti?","Taip, kur galėtumas susitikti?"
89,At the first stall.,Prie pirmo prekystalio.,Prie pirmo prekystalio.
90,When shall we meet?,Kada?,Kada?
91,At 10 o'clock sharp. Is that all right?,Tiksliai dešimtą. Ar tinka?,Tiksliai dešimtą. Ar tinka?
92,What's the time now?,Kiek dabar?,Kiekas Dabaras?
93,Nearly ten.,Greitai dešimt.,Greitai dešimt.
94,Good-bye; see you in a minute then.,Iki. Greitai pasimatysime.,Iki. Greitai pasimatysime.
95,On the market,Turguje,Turgujė
96,"Yum, the strawberries smell lovely.","Ach, kaip puikiai kvepia braškės.","Ach, kaip puikiai kvepia braškės."
97,"Yes, strawberries are my favorite.","O, braškės mano mėgstamiausios uogos.","O, braškių mano megstamiausio uogos."
98,"But Ana, the strawberries are not  fresh.","Bet Ana, braškės ne šviežios.","Bet Ana, braškės ne šviesai."
99,Not fresh? What a pity!,Ne šviežios? Kaip gaila!,Ne Šviesios? Kaip gaila!
100,At the vegetable stand,Prie daržovių prekystalio,Prie daržovi<unk> prekybos centro
101,A long cucumber please.,Man prašau ilgą agurką.,Man prašau ilgą gurką.
102,Anything else?,Dar ką nors?,Dar ką nors?
103,"Yes, A nice, lettuce  please.","Taip, prašau gražių salotų.","Taip, prašau graikų salotų."
104,"Three Litas , please.",Trys litai.,Pabando litai.
105,Here is a twenty Litas  note.,Štai dvidešimt litų.,Štai dvidešimt litų.
106,"Thanks. And here's a ten Litas note and  one, two, three, four, five, six, seven Litas back.","Ačiū. Dešimt litų ir vienas, du,  trys, keturi, penki, šeši, septyni litai  grąžos.","Ačiū. Dešimt litų ir vienas, du, tries, keturi, penki, šeši, septyni litai gr<unk> os."
107,Thank you.,Ačiū.,Ačiū.
108,At Sigita's,Pas Sigitą,Pas Sigitą
109,I am hungry; you as well?,"Aš alkanas(-a), o tu?","Aš alkanas (-a), o tu?"
110,Yes. When is lunch then?,Taip. Kada priešpiečiai?,Taip. Kada priešpiečiai?
111,Any minute now. The sun is  shining. We could have lunch on the balcony.,Už kelių minučių. Saulė šviečia. Galėtumėm  valgyti balkone.,Už kelių minučių. Saulė šviečia. Galetumem valgyti balkone.
112,Teriffic. I lay the table. What we have then?,Puiku. Aš padengsiu stalą. Ką mes valgysim?,Aš esu aš. Aš esu aš. Ką mes valgysim?
113,"Cheese Šeduva, eggs and  salad. Would you like omelet?","Šeduvos sūrį, kiaušinius ir salotas.  Gal norėtum omleto?","Šeduvos sūris, kaušinijus ir salotas. Gal norėtum omleto?"
114,"Omelet? Yuck, I don't like that.","Omleto? Ačiū, bet aš nemėgstu.","Omleto? Ačiū, lažinuosi iš nemėgstu."
115,I've got some rolls as well.,Aš dar turiu keletą bandelių,Aš esu turėklų keltuvų gamintojas
116,"Yes, some rolls please.",Porą bandelių prašom.,Porą bandelių prašą.
117,Can we meet this  morning?,Ar galėtumėm šiandien  susitikti?,"Ar gali būti, kad šindien susitikti?"
118,"Yes, that's possible.","Taip, galim.","Taip, galimai."
119,At 9 o'clock perhaps?,Gal 9 valandą?,Gal 9 valandėlės?
120,"No, that won't do.","Ne, man netinka.","Ne, žmogau netinka."
121,I want to go shopping first and the shops open at  8:30.,"Aš norėčiau eiti apsipirkti, o parduotuvės dirba nuo 8:30.","Aš esu čia, kad galėčiau nuo 8:30."
122,Half past ten is fine.,Tada būtų gerai puse  vienuoliktos.,Tadas Ūtų Gerų pese vienuoliktos.
123,All right then. At 10:30.,"Puiku, puse vienuoliktos.","Puiku, pese vienuoliktos."
124,Where shall we meet?,Kur mes susitiksime?,Kur mes susigiminiuosime?
125,Perhaps in front of the Hermis bank?,Gal prie Hermio banko?,Gal prie Hermio banko?
126,"Oh no, not there.","Oi ne, ne ten.","Oi ne, ne dešimt."
127,"Better opposite, in the Cafe ""Neringa"".","Geriau kitoje pusėje, Neringos kavinėje.","Geriau kitoje pusėje, Neringos kavinėje."
128,All right. I'll be there at half past ten.,"Gerai, aš būsiu ten puse  vienuoliktos.","Gerai, aš būsiu ten pese vienaeliktos."
129,In the men's outfitter's,Vyriškų drabužių  parduotuvėje,Vyriškų drabužių parduotuvė
130,Good afternoon.,Laba diena.,Laba diena.
131,What can I do for you?,Kuo galiu padėti?,Kuo gali būti padėta?
132,I'd like a pair of socks. Cotton please.,Norėčiau keletą porų medvilninių  kojinių,Norėčiau kelių porų medvilninių kojinių
133,What size do you take?,Kokio dydžio?,Kokio dydžio?
134,I take shoe size 9-9,Aš nešioju 43 dydį.,Aš nešioju 43 dydį.
135,These here are all 70% cotton and 30% nylon.,Štai šitose yra 70% medvilnės  ir 30% neilono.,Štai šitose ira 70% medvilnės ir 30% neilono.
136,We don't have any in pure. They are not very  practical either.,Mes neturime grynai medvilninių.  Jos nepraktiškos.,Mes neurime grynai medvilninių. Jos nepraktiškosios.
137,I am sorry.,Atsiprašome.,Asiprašom.
138,"Yes, that's a pity!",Gaila.,Gaila.
139,Good bye,Viso gero.,Viso gero.
140,"In the Cafe ""Neringa"", ordering a cup of coffee","Neringos kavinėje, kavos užsakymas","Neringos kavinėje, kavinėje"
141,May I invite you to a cup of coffee?,Galiu Jus pakviesti puodukui  kavos?,Galiu jus pakvieti puodukui kava?
142,Thank you. That's nice of you.,"Ačiū, Jūs labai maloni.","Ačiū, Jus labas maloni."
143,The cakes are very good.,Pyragaičiai labai skanūs.,Pyragaičių labai skanūs.
144,Would you like a piece?,Norite dar gabaliuko?,Norite dar gabaliuko?
145,"No thank you. Only a cup of black coffee, please.","Ne, ačiū. Tik juodos kavos,  prašom.","Ne, ačiū. Tik juodos kavos, prašom."
146,"Waiter! A cup of coffee without cream and a little jug of coffee, please.","Padavėjau, puodelį juodos kavos  be grietinėlės ir kavinuką kavos  prašom.","Padavėjai, puodelis į juodą kavą yra grietinėlės ir kavinuko kava prašom."
147,Could you please pass the sugar?,Galite man paduoti cukraus?,Galite vyras paduoti kiukraus?
148,Here you are.,Prašau.,Prašau.
149,At a Party,Priėmime,Priėmimas
150,Here is the wine.,Štai vynas.,Štai vynas.
151,Would you like some?,Ar norėtumėte?,Ar norėtutė?
152,Yes please.,"Taip, prašau.","Taip, prašau."
153,Here comes our hostess.,Ateina mūsų šeimininkė.,Ateina mūsų šeimininkė.
154,"Good arternoon, Mr Becker.","Laba diena, ponia Becker.","Laba diena, Ponia Beker."
155,I'm glad to see you.,Malonu Jus matyti.,Malonu Jus matyti.
156,"It is very warm today, don't you think so?","Labai šilta šiandien, ar ne  tiesa?",Ar tai tiesa?
157,"Yes, very warm indeed. I don't mind warm weather.","Taip, iš tikrųjų. Bet aš mėgstu šiltą orą.","Taip, iš tikrųjų. Bet aš esu pasaulietiškas."
158,It is really hot today.,Tikrai karšta šiandien.,Tikrai karšta šiandien.
159,You are wearing a jacket and tie.,Jus su švarku ir kaklaraiščiu.,Jus su švarku ir kaklaraiščiais.
160,You may take your jacket off if you want to.,"Galite nusirengti, jei norite.","Galite nuirengti, jei norite."
161,In the Department  Store; to try something on,Universalinėje parduotuvėje; ką nors pasimatuoti,Universalioje parduotuvėje; ką ir pasimatuoti
162,This dress is size 40.,Ši suknelė 40 dydžio.,Ši suknelė 40 dydžio.
163,That is too small for me.,Ji per maža man.,Ji per maža vyras.
164,Have you not got it in 42?,Ar neturite 42 dydžio?,Ar neturite 42 dydio?
165,No I'm sorry.,"Gaila, neturime.","Gaila, neturime."
166,But do try it on.,Bet pasimatuokite.,Bet pasimatuokite.
167,It might fit.,Gal tiks.,Gal tiks.
168,All right then.,Na gerai.,Na gerai.
169,Where is the changing room?,Kur galima  pasimatuoti?,Kur galima pasimatuoti?
170,"Over there, next to the  large mirror.","Štai ten, prie didelio veidrodžio.","Štai ten, prie didelio veidrodžio."
171,Thank you,Ačiū.,Ačiū.
172,Hotel  Astoria. To reserve room (by telephone),Viešbutis Astorija. Užsakyti kambarį (telefonu),Viešbutis Astorija. Užsakyta iš anksto (telefonu)
173,"Hotel  Astoria, Berlin, can I help you?","Viešbutis Astorija, Berlynas. Kuo galiu Jums padėti?","Viešbutis Astorija, Berlynas. Kuo gali būti Jums papėdė?"
174,Have you any  vacancies?,Ar  turite laisvų kambarių?,Ar turit laisvų kambarių?
175,"Yes, we  have.","Taip, turime.","Taip, turim."
176,When would you  want them?,Kada norėsite?,Kada norėsite?
177,"Tomorrow night  untill Thursday, for one night.","Rytoj  vakare iki ketvirtadienio, vienai nakčiai.","Ryto vakare iki ketvirtadienio, vienų nakčių."
178,"Yes, we we've  still got rooms.",Taip dar turime laisvų kambarių.,Taip dar turim laisvų kambarių.
179,What kind of  room would you like?,Kokio Jūs norėtumėte?,Kokio Jus norėtutė?
180,"Two single  rooms with bathroom, please.",Dvi vienutes su  voniomis.,Dvi vienetaitės su voniomis.
181,Two single  with bath. O.K. What's the name please?,Dvi  vienutes su voniomis? Jūsų pavardė?,Dvi vienetaitės su voniomis?
182,Wilson und  Holz. It's Miss Holz and myself.,Vilsonas ir  Holzas. Tai ponia Holz ir aš.,Vilsonas ir Holzas. Tai ponia Holz ir aš.
183,"I've written  it down, Mr.Wilson. Please report at the reception by 2 p.m. tomorrow. Otherwise we do not  guarantee the booking.","Aš užrašiau, ponas  Vilsonai. Prašau rytoj kreiptis į  registratūrą iki 14 val. Kitaip mes negarantuojame Jums kambario.","Aš užrišau, ponas Vilsonai. Prašau rytoj kreiptis į registratūrą iki 14 val. Kitap mes negarantuojame Jus kambario."
184,Thank  you; good-bye.,"Ačiū, viso gero.","Ačiū, viso gero."
185,A telegram; reading a message.,Telegramos  perskaitymas,Telegramos perskaitymas
186,Here  is a telegram for you.,Čia yra telegrama Jums.,Čia ira telegrama Jumus.
187,For  me? How strange. Who sent it?,Man?  Keista. Nuo ko?,"Keista, Nuo ko?"
188,How  should I know? Open it and read it!,Aš nežinau. Atidaryk ir perskaityk!,Aš nežinau. Atidaryk ir perskaityk!
189,Arrive  one day later - stop -please stay in Berlin - stop - sightseing perhaps? - stop - See you  later - stop - Peter H.,Atvykstu viena diena vėliau - taškas - pasilik Berlyne - taškas  - gal pasižvalgyk mieste - taškas - Pasimatysime - taškas - Peter H.,Atvykstu viena diena vėliau - taskas - tasilik Berlyne - taskas - gal pasižvalgyk mieste - taskas - pasimatysime - taskas - Peter H.
190,"Well,  are you staying?","Taigi,  pasilieki?","Taigi, pasilieki?"
191,Of  course I am!,"Na, žinoma!","Na, žinoma!"
192,Another  message...Reading a bizarre message.,Dar viena žinutė,Dar viena mergaitė
193,Have a  listen:  Do I come? - or do you come? Over the weekend or on Friday? In the castle or in the court  gardens? Where shall we meet?,"Klausyk,  aš atvykstu ar Tu atvyksti? Savaitgalyje ar penktadienį?  Pilyje ar pilies sode? Kur susitinkame?","Klausyk, aš esu atvykstu ar Tu atvyksti? Savaitgalyje ar penktadienyje? Pilyje ar pilies sode? Kur susiinkame?"
194,Who's sent  that then?,Kas tai siunčia?,Kas tai yra?
195,"I don't  know,  no idea. Perhaps a ghostwriter?",Neįsivaizduoju. Gal dvasia?,Neįsivaizduojama. Gal dvasia?
196,Very  strange!,Labai keista!,Labai keista!
197,Exactly as in  a thriller.,Kaip  detektyve.,Kaip detektyvas.
198,There's no  parking here!,Čia  mašinas statyti draudžiama.,Čia mašinas statyti draudžiama.
199,I didn't know  that. I will drive off immediatly.,Aš  nežinojau. Aš tuoj pat išvažiuosiu.,Aš nežinau. Aš esu čia ir aš esu čia.
200,On weekends you  can park here.,Savaitgaliais  galima.,Savaitgaliai galima.
201,And what day is  it today?,O kokia  šiandien diena?,O kokia šiandien diena?
202,Today is  Wednesday.,Trečiadienis.,Trečiadienis.
203,Wha t a  pity! But  I can't wait for 2 days!,Gaila. Bet aš  negaliu dvi dienas laukti.,"Gaila. Bet aš negalvoju apie tai, kaip reikia elgtis."
204,And you are not  allowed to do so either!,"Gaila,  bet niekuo negaliu padėti.","Gaila, bet niekuo negalvoju padėtį."
205,Enquiring about public transport,Paklausti apie viešąjį transportą,Pakeliama apie vie<unk> j<unk> transportavimas
206,Where  do you want to go?,Kur Jūs norėtumėte nueiti?,Kur Jūs norite nueiti?
207,To  the castle please.,Į pilį.,Į viršų
208,By  tube or bus?,Metro ar autobusu?,Metro ar autobusu?
209,Which  is the best?,O kaip geriau?,O kaip geriau?
210,"By  tube it's faster, but the bus is cheaper.","Metro  - greičiau, o autobusu - pigiau.","Metro - greitkelis, o autobusu - greitkelis."
211,I'll  take the bus.,Tada autobusu.,Tadas autobusu.
212,Which  number (bus) is it please?,Kuris autobusas?,Kuris autobusą?
213,Number  48; it goes directly to the castle.,48 numeris važiuoja  tiesiai prie pilies.,48 numeris važiuoja tiesi prie pilies.
214,Where  is the stop?,Kur sustojimas?,Kur susistemintas?
215,"The  stop is right here, at the corner, on tie right hand side.","Sustojimas čia pat, už kampo, dešinėje pusėje.","Sustojimas čia pat, už kampo, dešinėje pusėje."
216,"Oi the right, yes of cource, I almost forgot about that.",Dešinėje? Aš visai užmiršau.,Aš visau užmiršau.
217,Many thanks.,Didelis ačiū.,Didelis ačiū.
218,You're welcome.,Nėr už ką.,Nėr už ką.
219,Describing  an accident,Avarija,Avarija
220,What was that?,Kas atsitiko?,Kas pasitiko?
221,"An accident,  in Kantstrasse.",Avarija Kanto gatvėje.,Avarija Kanto gatvėje.
222,How did it happen?,Kaip tai  buvo?,Kaip tai buvo?
223,The traffic  lights at the crossing are not working. Three cars have collided.,Šviesoforas kryžkelėje nedirba. Susidūrė trys  automobiliai.,Šviesoforas kryžkelėje nedirba. Susidūrė išbando automobilius.
224,Is somebody injured?,Ar kas nors sužeistas?,Ar kas nors sužais?
225,"Yes, two  drivers are badly injured' the other passengers only slightly, thank goodness.","Taip, du vairuotojai sunkiai sužeisti, ačiū Dievui - kiti nesunkiai.","Taip, du vairuotojai sužaistus, ačiū Dievui - kiti nesunkiai."
226,Whenn did it  happen then?,Kada tai  atsitiko?,Kada tai atsitiko?
227,Ten minutes  ago. Somebody rang the ambulance.,Prieš dešimt minučių. Kažkas iškvietė greitąją.,Prieš dešimt minučių. Kažkas iškviete graitąją.
228,It will be  here soon.,Ji greitai  atvyks.,Ji greitai atvyks.
229,"I hope so. The  traffic looks like chaos, don't you think?","Tikėkimės. Toks didelis judėjimas, ar ne?","Tikėkimai. Toks didelis judėjimas, ar ne?"
230,Difficulties  on the phone (to complain about an order,Apie  nesusipratimus telefonu,Apie mus
231,"Sauer & Co., hello.","Alio, Sauer  & Co.","Alio, Sauer & Co."
232,Good morning.  Becker fashions. We received your parcels this morning.,Labas rytas. Bekerio mados. Šiandien gavome Jūsų siuntinį.,Labas rytas. Bekerio mados. Šiandienos gaumė Jūsų siuntinys.
233,Which parcel  are you talking about?,Apie kurį siuntinį Jūs kalbate?,Apie čiurkšlę ir jos čiurkšlę?
234,The delivery  of socks.,Siuntinys su kojinėmis.,Siuntinys su kojalinemis.
235,Now I remember. Good.,Prisimenu.,Prisimenu.
236,I'm pleased.,"Gerai, kad  gavote.","Gerai, kad gavote."
237,"No, not good  at all.",Visai ne  gerai.,Visai ne gerai.
238,There are as  many as 300 pairs of grey socks.,Jame 300 porų pilkų kojinių.,Jame 300 porų pilkų kojinių.
239,That's right.,Teisingai.,Teisingai.
240,"No, it's not  right. Miss...","Ne,  neteisingai, panele...","Ne, netaisyklingai, panele..."
241,"Mrs., if you  please, Mrs. Ernst.",Ponia...  Ponia Ernst.,Ponia... Ponia Ernst.
242,"Mrs. Ernst, we  didn't actually order 300 pairs of grey socks.","Ponia Ernst, mes iš tikrųjų neužsakėme 300 porų pilkų kojinių.","Ponia Ernst, mes iš tikrųjų neužsikabiname 300 porų pilkų kojinių."
243,"Oh, yes, you  did. I've got it here in the books.",Užsakėte. Aš matau knygoje.,Užsakyte. Aš matau knygoje.
244,"Mrs. Ernst,  something must be wrong there. We ordered 30 pairs of grey socks, not 300.","Ponia Ernst, kažkas čia negerai. Mes užsakėme 30 porų pilkų kojinių, o  ne 300.","Ponia Ernst, kažkas čia negerai. Mes užsakinėjame 30 porų pilkų kojinių, o ne 300."
245,Not 300 then?,Ne 300?,Ne 300?
246,"Oh well, send  those you don't want back to us.","Ach, išsiųskite mums, jeigu Jūs jų nenorite.","Ach, išsioskite mums, jeigu Jūsų nenorite."
247,Goodbye.,Viso gero.,Viso gero.
248,"I don't know  what to say, but what I can do?","Aš tiesiog nežinau, ką pasakyti. Bet ką aš galiu padaryti?","Aš esu tas, kuris žino, ką daryti. Bet ką aš galiu padaryti?"
249,A meeting  on the plane,Susitikimas lėktuve,Susitikimas lesbietė
250,"Hello, Mrs Schmidt.","Sveika, ponia  Šmidt.","Šveika, Ponia Šmidt."
251,What a  surprise to meet you here on the plane!,Koks netikėtumas Jus čia lėktuve sutikti!,Koks netikėtumas jus cia lynktuve sutikti!
252,Yes. Isn't it?,Tikrai?,Tikrai?
253,How are you?,Kaip sekasi?,Kaip sekasi?
254,"I'm fine  thanks, and how are you?","Puikiai, o  Jums?","Puikiai, o Jumsai?"
255,Where are you  going to?,Kur Jūs vykstate?,Kur mes vykstate?
256,I'm going to  visit my son. He is living in Switzerland now. And what about you?,Ruošiuosi aplankyti savo sūnų. Jis gyvena Šveicarijoje. O Jūs?,Ruošiuosi aplaistytos savo kūno. Jis gyvena Šveicarijuje. O mes?
257,I'm on  business again. I often fly on this route.,Aš vėl komandiruotėje. Aš dažnai skrendu šiuo maršrutu.,"Aš esu vėžlys, aš esu tėviškė. Aš esu tėviškė."
258,I see. How  often then?,Matau. Kaip dažnai?,"Matau, kaip dažnai?"
259,About 2-3  times per month.,Maždaug tris kartus per mėnesį,Maždaug tris kartus per mėnesį
260,I'm only  flying for the second time today!,O aš skrendu šiandien antrą kartą!,Aš esu išdykęs šiandien antrieji kartai!
261,No wonder that  we don't meet more then!,"Ne nuostabu, kad mes ne dažnai susitinkame!","Ne nuostaba, kad mes ne dažnai susitinkame!"
262,Talking  about interests,Pokalbis apie pomėgius,Pokalbis apie pomėgį
263,What are you  interested in?,Kuo Jūs domitės?,Kuo Jus domitės?
264,That depends.  I'm interested in many things.,Kaip čia pasakius? Aš domiuosi daugeliu dalykų.,Aš esu namų šeimininkės.
265,Are you  interested in art?,Ar Jūs domitės menu?,Ar Jūsų namų meniu?
266,What kind of  art do you mean?,Žiūrint ką Jūs turite galvoje?,"Žiūrint, ką jūs turite gale?"
267,Paintings.,Tapybą.,Tapybą.
268,"Oh yes, I'm  very interested in paintings.",O taip. Man  patinka tapyba.,O taip. Man patinka tapyba.
269,What kind of  paintings are you particularly interested in?,Kokia tapybos rūšimi Jūs daugiausiai domitės?,Kokia tapybos rūšimi Jus daugių domitės?
270,Expressionist  paintings like the ones by Kandinsky and Schmidt-Rotluf for  example. I like both very much.,"Ekspresionistai, pavyzdžiui tokie kaip Kandinskis ir  Šmidt-Rotlufas. Aš juos abu mėgstu.","Ekspresionistai, pavyzdžiui tokie kaip Kandinskis ir Šmidt-Rotlufas. Aš esu tas pats žmogus."
271,So you are  only interested in modern art?,"Taigi, Jūs domitės tik moderniu menu?","Taigi, Jūsų namų meniu tik modernu?"
272,"No, I'm also  interested in the impressionists, but not as much.","O ne. Man  patinka ir impresionistai, nors ne perdaug.","O ne. Man patinka ir impresionistai, neis ne perdaug."
273,"I 'm not  interested in paintings at all, only in photography.",O man visai  nepatinka tapyba. Aš domiuosi fotografija.,"Aš esu moteris, kuri nori būti tavo žmona."
274,Talking  about the weather,Pokalbis apie orą,Pokalbis apie
275,Do you know  what the weather is going to be like?,"Ar žinote, koks bus oras?","Ar žinot, koks bus oras?"
276,"Yes, I happen  to know it; I've seen the weather report.","Taip, atsitiktinai perskaičiau orų prognozę.","Taip, persikiniai perskaičiau orų prognozė."
277,What's the  weather like in London?,Koks bus oras  Londone?,Koks bus oro Londone?
