range,en,lt
54-71,The waitress smiles,Padavėjas šypsosi
54-71,Where do you live then?,Kur Jūs gyvenate?
54-71,I live in Toronto,Aš gyvenu Toronte
54-71,Is this your's first visit to Vilnius?,Ar Jūs pirmą kartą Vilniuje?
54-71,"Yes, I like Vilnius","Taip, man patinka Vilnius"
54-71,Do you understand my Lithuanian?,Ar Jūs mane suprantate?
54-71,"Yes, your Lithuanian is good","Taip, Jūs puikiai kalbate lietuviškai."
54-71,"I can understand a lot, but please speak slowly","Taip, aš daug suprantu, bet kalbėkite lėčiau prašom"
72-77,The Clock.,Laikrodis
72-77,It is ten o'clock.,Dabar dešimt valandų.
72-77,It is ten fifteen.,Penkiolika minučių po dešimtos.
72-77,Quarter past ten.,Ketvirtis vienuoliktos.
72-77,It is ten thirty or half past ten.,Dešimt valandų trisdešimt minučių arba puse vienuoliktos.
72-77,It is ten forty five or quarter to eleven.,Dešimt valandų keturiasdešimt penkios minutės arba be penkiolikos  minučių vienuolika.
78-94,On telephone,Pokalbis telefonu
78-94,"Hello Sigita, here is Kathleen.","Sveika Sigita, čia Katlyna."
78-94,"Hello, how are things?","Sveika, kaip sekasi?"
78-94,"Fine, thank you.","Ačiū, puikiai."
78-94,I'm going shopping in a minute.,Aš einu dabar apsipirkti.
78-94,So am I. I'm going to the market.,Aš taip pat. Ruošiuosi eiti į turgų.
78-94,"Oh yes, today is market day.","O, šiandien juk turgaus diena."
78-94,Then I'll go to the market as well.,Tada aš irgi eisiu į turgų.
78-94,Shall we meet?,Ar susitiksime?
78-94,Is that possible?,Ar tai įmanoma?
78-94,"Yes, that is possible. Where shall we meet then?","Taip, kur galėtumėm susitikti?"
78-94,At the first stall.,Prie pirmo prekystalio.
78-94,When shall we meet?,Kada?
78-94,At 10 o'clock sharp. Is that all right?,Tiksliai dešimtą. Ar tinka?
78-94,What's the time now?,Kiek dabar?
78-94,Nearly ten.,Greitai dešimt.
78-94,Good-bye; see you in a minute then.,Iki. Greitai pasimatysime.
95-107,On the market,Turguje
95-107,"Yum, the strawberries smell lovely.","Ach, kaip puikiai kvepia braškės."
95-107,"Yes, strawberries are my favorite.","O, braškės mano mėgstamiausios uogos."
95-107,"But Ana, the strawberries are not  fresh.","Bet Ana, braškės ne šviežios."
95-107,Not fresh? What a pity!,Ne šviežios? Kaip gaila!
95-107,At the vegetable stand,Prie daržovių prekystalio
95-107,A long cucumber please.,Man prašau ilgą agurką.
95-107,Anything else?,Dar ką nors?
95-107,"Yes, A nice, lettuce  please.","Taip, prašau gražių salotų."
95-107,"Three Litas , please.",Trys litai.
95-107,Here is a twenty Litas  note.,Štai dvidešimt litų.
95-107,"Thanks. And here's a ten Litas note and  one, two, three, four, five, six, seven Litas back.","Ačiū. Dešimt litų ir vienas, du,  trys, keturi, penki, šeši, septyni litai  grąžos."
95-107,Thank you.,Ačiū.
108-128,At Sigita's,Pas Sigitą
108-128,I am hungry; you as well?,"Aš alkanas(-a), o tu?"
108-128,Yes. When is lunch then?,Taip. Kada priešpiečiai?
108-128,Any minute now. The sun is  shining. We could have lunch on the balcony.,Už kelių minučių. Saulė šviečia. Galėtumėm  valgyti balkone.
108-128,Teriffic. I lay the table. What we have then?,Puiku. Aš padengsiu stalą. Ką mes valgysim?
108-128,"Cheese Šeduva, eggs and  salad. Would you like omelet?","Šeduvos sūrį, kiaušinius ir salotas.  Gal norėtum omleto?"
108-128,"Omelet? Yuck, I don't like that.","Omleto? Ačiū, bet aš nemėgstu."
108-128,I've got some rolls as well.,Aš dar turiu keletą bandelių
108-128,"Yes, some rolls please.",Porą bandelių prašom.
108-128,Can we meet this  morning?,Ar galėtumėm šiandien  susitikti?
108-128,"Yes, that's possible.","Taip, galim."
108-128,At 9 o'clock perhaps?,Gal 9 valandą?
108-128,"No, that won't do.","Ne, man netinka."
108-128,I want to go shopping first and the shops open at  8:30.,"Aš norėčiau eiti apsipirkti, o parduotuvės dirba nuo 8:30."
108-128,Half past ten is fine.,Tada būtų gerai puse  vienuoliktos.
108-128,All right then. At 10:30.,"Puiku, puse vienuoliktos."
108-128,Where shall we meet?,Kur mes susitiksime?
108-128,Perhaps in front of the Hermis bank?,Gal prie Hermio banko?
108-128,"Oh no, not there.","Oi ne, ne ten."
108-128,"Better opposite, in the Cafe ""Neringa"".","Geriau kitoje pusėje, Neringos kavinėje."
108-128,All right. I'll be there at half past ten.,"Gerai, aš būsiu ten puse  vienuoliktos."
129-139,In the men's outfitter's,Vyriškų drabužių  parduotuvėje
129-139,Good afternoon.,Laba diena.
129-139,What can I do for you?,Kuo galiu padėti?
129-139,I'd like a pair of socks. Cotton please.,Norėčiau keletą porų medvilninių  kojinių
129-139,What size do you take?,Kokio dydžio?
129-139,I take shoe size 9-9,Aš nešioju 43 dydį.
129-139,These here are all 70% cotton and 30% nylon.,Štai šitose yra 70% medvilnės  ir 30% neilono.
129-139,We don't have any in pure. They are not very  practical either.,Mes neturime grynai medvilninių.  Jos nepraktiškos.
129-139,I am sorry.,Atsiprašome.
129-139,"Yes, that's a pity!",Gaila.
129-139,Good bye,Viso gero.
140-148,"In the Cafe ""Neringa"", ordering a cup of coffee","Neringos kavinėje, kavos užsakymas"
140-148,May I invite you to a cup of coffee?,Galiu Jus pakviesti puodukui  kavos?
140-148,Thank you. That's nice of you.,"Ačiū, Jūs labai maloni."
140-148,The cakes are very good.,Pyragaičiai labai skanūs.
140-148,Would you like a piece?,Norite dar gabaliuko?
140-148,"No thank you. Only a cup of black coffee, please.","Ne, ačiū. Tik juodos kavos,  prašom."
140-148,"Waiter! A cup of coffee without cream and a little jug of coffee, please.","Padavėjau, puodelį juodos kavos  be grietinėlės ir kavinuką kavos  prašom."
140-148,Could you please pass the sugar?,Galite man paduoti cukraus?
140-148,Here you are.,Prašau.
149-160,At a Party,Priėmime
149-160,Here is the wine.,Štai vynas.
149-160,Would you like some?,Ar norėtumėte?
149-160,Yes please.,"Taip, prašau."
149-160,Here comes our hostess.,Ateina mūsų šeimininkė.
149-160,"Good arternoon, Mr Becker.","Laba diena, ponia Becker."
149-160,I'm glad to see you.,Malonu Jus matyti.
149-160,"It is very warm today, don't you think so?","Labai šilta šiandien, ar ne  tiesa?"
149-160,"Yes, very warm indeed. I don't mind warm weather.","Taip, iš tikrųjų. Bet aš mėgstu šiltą orą."
149-160,It is really hot today.,Tikrai karšta šiandien.
149-160,You are wearing a jacket and tie.,Jus su švarku ir kaklaraiščiu.
149-160,You may take your jacket off if you want to.,"Galite nusirengti, jei norite."
161-171,In the Department  Store; to try something on,Universalinėje parduotuvėje; ką nors pasimatuoti
161-171,This dress is size 40.,Ši suknelė 40 dydžio.
161-171,That is too small for me.,Ji per maža man.
161-171,Have you not got it in 42?,Ar neturite 42 dydžio?
161-171,No I'm sorry.,"Gaila, neturime."
161-171,But do try it on.,Bet pasimatuokite.
161-171,It might fit.,Gal tiks.
161-171,All right then.,Na gerai.
161-171,Where is the changing room?,Kur galima  pasimatuoti?
161-171,"Over there, next to the  large mirror.","Štai ten, prie didelio veidrodžio."
161-171,Thank you,Ačiū.
172-184,Hotel  Astoria. To reserve room (by telephone),Viešbutis Astorija. Užsakyti kambarį (telefonu)
172-184,"Hotel  Astoria, Berlin, can I help you?","Viešbutis Astorija, Berlynas. Kuo galiu Jums padėti?"
172-184,Have you any  vacancies?,Ar  turite laisvų kambarių?
172-184,"Yes, we  have.","Taip, turime."
172-184,When would you  want them?,Kada norėsite?
172-184,"Tomorrow night  untill Thursday, for one night.","Rytoj  vakare iki ketvirtadienio, vienai nakčiai."
172-184,"Yes, we we've  still got rooms.",Taip dar turime laisvų kambarių.
172-184,What kind of  room would you like?,Kokio Jūs norėtumėte?
172-184,"Two single  rooms with bathroom, please.",Dvi vienutes su  voniomis.
172-184,Two single  with bath. O.K. What's the name please?,Dvi  vienutes su voniomis? Jūsų pavardė?
172-184,Wilson und  Holz. It's Miss Holz and myself.,Vilsonas ir  Holzas. Tai ponia Holz ir aš.
172-184,"I've written  it down, Mr.Wilson. Please report at the reception by 2 p.m. tomorrow. Otherwise we do not  guarantee the booking.","Aš užrašiau, ponas  Vilsonai. Prašau rytoj kreiptis į  registratūrą iki 14 val. Kitaip mes negarantuojame Jums kambario."
172-184,Thank  you; good-bye.,"Ačiū, viso gero."
185-191,A telegram; reading a message.,Telegramos  perskaitymas
185-191,Here  is a telegram for you.,Čia yra telegrama Jums.
185-191,For  me? How strange. Who sent it?,Man?  Keista. Nuo ko?
185-191,How  should I know? Open it and read it!,Aš nežinau. Atidaryk ir perskaityk!
185-191,Arrive  one day later - stop -please stay in Berlin - stop - sightseing perhaps? - stop - See you  later - stop - Peter H.,Atvykstu viena diena vėliau - taškas - pasilik Berlyne - taškas  - gal pasižvalgyk mieste - taškas - Pasimatysime - taškas - Peter H.
185-191,"Well,  are you staying?","Taigi,  pasilieki?"
185-191,Of  course I am!,"Na, žinoma!"
192-197,Another  message...Reading a bizarre message.,Dar viena žinutė
192-197,Have a  listen:  Do I come? - or do you come? Over the weekend or on Friday? In the castle or in the court  gardens? Where shall we meet?,"Klausyk,  aš atvykstu ar Tu atvyksti? Savaitgalyje ar penktadienį?  Pilyje ar pilies sode? Kur susitinkame?"
192-197,Who's sent  that then?,Kas tai siunčia?
192-197,"I don't  know,  no idea. Perhaps a ghostwriter?",Neįsivaizduoju. Gal dvasia?
192-197,Very  strange!,Labai keista!
192-197,Exactly as in  a thriller.,Kaip  detektyve.
198-204,There's no  parking here!,Čia  mašinas statyti draudžiama.
198-204,I didn't know  that. I will drive off immediatly.,Aš  nežinojau. Aš tuoj pat išvažiuosiu.
198-204,On weekends you  can park here.,Savaitgaliais  galima.
198-204,And what day is  it today?,O kokia  šiandien diena?
198-204,Today is  Wednesday.,Trečiadienis.
198-204,Wha t a  pity! But  I can't wait for 2 days!,Gaila. Bet aš  negaliu dvi dienas laukti.
198-204,And you are not  allowed to do so either!,"Gaila,  bet niekuo negaliu padėti."
205-218,Enquiring about public transport,Paklausti apie viešąjį transportą
205-218,Where  do you want to go?,Kur Jūs norėtumėte nueiti?
205-218,To  the castle please.,Į pilį.
205-218,By  tube or bus?,Metro ar autobusu?
205-218,Which  is the best?,O kaip geriau?
205-218,"By  tube it's faster, but the bus is cheaper.","Metro  - greičiau, o autobusu - pigiau."
205-218,I'll  take the bus.,Tada autobusu.
205-218,Which  number (bus) is it please?,Kuris autobusas?
205-218,Number  48; it goes directly to the castle.,48 numeris važiuoja  tiesiai prie pilies.
205-218,Where  is the stop?,Kur sustojimas?
205-218,"The  stop is right here, at the corner, on tie right hand side.","Sustojimas čia pat, už kampo, dešinėje pusėje."
205-218,"Oi the right, yes of cource, I almost forgot about that.",Dešinėje? Aš visai užmiršau.
205-218,Many thanks.,Didelis ačiū.
205-218,You're welcome.,Nėr už ką.
219-229,Describing  an accident,Avarija
219-229,What was that?,Kas atsitiko?
219-229,"An accident,  in Kantstrasse.",Avarija Kanto gatvėje.
219-229,How did it happen?,Kaip tai  buvo?
219-229,The traffic  lights at the crossing are not working. Three cars have collided.,Šviesoforas kryžkelėje nedirba. Susidūrė trys  automobiliai.
219-229,Is somebody injured?,Ar kas nors sužeistas?
219-229,"Yes, two  drivers are badly injured' the other passengers only slightly, thank goodness.","Taip, du vairuotojai sunkiai sužeisti, ačiū Dievui - kiti nesunkiai."
219-229,Whenn did it  happen then?,Kada tai  atsitiko?
219-229,Ten minutes  ago. Somebody rang the ambulance.,Prieš dešimt minučių. Kažkas iškvietė greitąją.
219-229,It will be  here soon.,Ji greitai  atvyks.
219-229,"I hope so. The  traffic looks like chaos, don't you think?","Tikėkimės. Toks didelis judėjimas, ar ne?"
230-248,Difficulties  on the phone (to complain about an order,Apie  nesusipratimus telefonu
230-248,"Sauer & Co., hello.","Alio, Sauer  & Co."
230-248,Good morning.  Becker fashions. We received your parcels this morning.,Labas rytas. Bekerio mados. Šiandien gavome Jūsų siuntinį.
230-248,Which parcel  are you talking about?,Apie kurį siuntinį Jūs kalbate?
230-248,The delivery  of socks.,Siuntinys su kojinėmis.
230-248,Now I remember. Good.,Prisimenu.
230-248,I'm pleased.,"Gerai, kad  gavote."
230-248,"No, not good  at all.",Visai ne  gerai.
230-248,There are as  many as 300 pairs of grey socks.,Jame 300 porų pilkų kojinių.
230-248,That's right.,Teisingai.
230-248,"No, it's not  right. Miss...","Ne,  neteisingai, panele..."
230-248,"Mrs., if you  please, Mrs. Ernst.",Ponia...  Ponia Ernst.
230-248,"Mrs. Ernst, we  didn't actually order 300 pairs of grey socks.","Ponia Ernst, mes iš tikrųjų neužsakėme 300 porų pilkų kojinių."
230-248,"Oh, yes, you  did. I've got it here in the books.",Užsakėte. Aš matau knygoje.
230-248,"Mrs. Ernst,  something must be wrong there. We ordered 30 pairs of grey socks, not 300.","Ponia Ernst, kažkas čia negerai. Mes užsakėme 30 porų pilkų kojinių, o  ne 300."
230-248,Not 300 then?,Ne 300?
230-248,"Oh well, send  those you don't want back to us.","Ach, išsiųskite mums, jeigu Jūs jų nenorite."
230-248,Goodbye.,Viso gero.
230-248,"I don't know  what to say, but what I can do?","Aš tiesiog nežinau, ką pasakyti. Bet ką aš galiu padaryti?"
249-261,A meeting  on the plane,Susitikimas lėktuve
249-261,"Hello, Mrs Schmidt.","Sveika, ponia  Šmidt."
249-261,What a  surprise to meet you here on the plane!,Koks netikėtumas Jus čia lėktuve sutikti!
249-261,Yes. Isn't it?,Tikrai?
249-261,How are you?,Kaip sekasi?
249-261,"I'm fine  thanks, and how are you?","Puikiai, o  Jums?"
249-261,Where are you  going to?,Kur Jūs vykstate?
249-261,I'm going to  visit my son. He is living in Switzerland now. And what about you?,Ruošiuosi aplankyti savo sūnų. Jis gyvena Šveicarijoje. O Jūs?
249-261,I'm on  business again. I often fly on this route.,Aš vėl komandiruotėje. Aš dažnai skrendu šiuo maršrutu.
249-261,I see. How  often then?,Matau. Kaip dažnai?
249-261,About 2-3  times per month.,Maždaug tris kartus per mėnesį
249-261,I'm only  flying for the second time today!,O aš skrendu šiandien antrą kartą!
249-261,No wonder that  we don't meet more then!,"Ne nuostabu, kad mes ne dažnai susitinkame!"
262-273,Talking  about interests,Pokalbis apie pomėgius
262-273,What are you  interested in?,Kuo Jūs domitės?
262-273,That depends.  I'm interested in many things.,Kaip čia pasakius? Aš domiuosi daugeliu dalykų.
262-273,Are you  interested in art?,Ar Jūs domitės menu?
262-273,What kind of  art do you mean?,Žiūrint ką Jūs turite galvoje?
262-273,Paintings.,Tapybą.
262-273,"Oh yes, I'm  very interested in paintings.",O taip. Man  patinka tapyba.
262-273,What kind of  paintings are you particularly interested in?,Kokia tapybos rūšimi Jūs daugiausiai domitės?
262-273,Expressionist  paintings like the ones by Kandinsky and Schmidt-Rotluf for  example. I like both very much.,"Ekspresionistai, pavyzdžiui tokie kaip Kandinskis ir  Šmidt-Rotlufas. Aš juos abu mėgstu."
262-273,So you are  only interested in modern art?,"Taigi, Jūs domitės tik moderniu menu?"
262-273,"No, I'm also  interested in the impressionists, but not as much.","O ne. Man  patinka ir impresionistai, nors ne perdaug."
262-273,"I 'm not  interested in paintings at all, only in photography.",O man visai  nepatinka tapyba. Aš domiuosi fotografija.
274-283,Talking  about the weather,Pokalbis apie orą
274-283,Do you know  what the weather is going to be like?,"Ar žinote, koks bus oras?"
274-283,"Yes, I happen  to know it; I've seen the weather report.","Taip, atsitiktinai perskaičiau orų prognozę."
274-283,What's the  weather like in London?,Koks bus oras  Londone?
274-283,In London  it's cool; but it's going to improve.,"Bus vėsu, bet žada pasitaisyti."
274-283,And what's  the weather in Berlin going to be like?,O koks bus  oras Berlyne?
274-283,"Here it's  going to stay warm, just as yeterday. Here it's going to be a lovely  summer.","Ž  ada būti  saulėtas ir šiltas, toks kaip vakar. Puiki vasara!"
274-283,You are quite  right.,Jūs teisus.
274-283,It's fairly  warm already.,Jau net dabar  šilta.
274-283,"According to  the report, we will get as much as 30o centigrade today.",Pagal prognozę bus šiandien 30  o šilumos.
284-294,Do  you like it?(To express likes),Ar  Jums patinka?
284-294,Do you like  Berlin?,Ar patinka  Jums Berlynas?
284-294,"Oh, yes very  much.","Taip, labai  patinka."
284-294,What do you  like best?,O kas  daugiausiai patinka?
284-294,I like the  National Gallery and Schloss Charlottenburg best.,Daugiausiai Nacionalinė galerija ir Šarlotenburgo pilis.
284-294,But also like  the Court Gardens.,Taip pat  patinka pilies sodas.
284-294,Would you like  to live in Berlin?,Ar norėtumėte gyventi Berlyne?
284-294,"Oh  yes, that  would be good. I would speak German a lot better then.",Tai būtų puiku. Aš geriau kalbėčiau vokiškai.
284-294,Where do you  live then?,Kur Jūs gyvenate?
284-294,"I live in  London, and you?","Aš gyvenu Londone, o Jūs?"
284-294,"I have been  living here in the ""Spreemetropolis' for the past 40 years. I'm a genuine Berliner.",Aš gyvenu čia Šprimetropolyje jau keturis metus. Esu tikras  berlynietis.
295-306,To  discuss methods of payment,Apie mokėjimo būdus
295-306,That comes to  125 marks 50.,Tai bus 125 markės ir 50.
295-306,"I haven't got  that much on me, sorry.","Gaila, prie savęs aš neturiu tiek daug."
295-306,That doesn't  matter. You can pay by credit card.,Tai nieko. Jūs galite mokėti kreditine kortele.
295-306,Do you also  take cheques?,O ar galiu čekiais?
295-306,"Yes, if you  have a valid cheque card (on you).","Taip, jeigu  jie galiojantys."
295-306,"Yes, of course.","Taip, žinoma."
295-306,All right  then. Please make the cheque payable to Zille and Co.,Gerai. Išrašykite tada čekį Ciles ir Ko vardu.
295-306,And here is  my cheques card.,"Štai čekis, prašau."
295-306,"Ah,  see, you  are English? You speak German very well.","Ach, Jūs anglas? Bet Jūs kalbate puikiai vokiškai."
295-306,Congratulations!,Sveikinu!
295-306,Thank you  very much.,Ačiū.
307-315,To  express quality,Apie dovanas (kokybė)
307-315,Have a look at  the present I bought.,"Pažiūrėk, kokią dovaną aš nupirkau."
307-315,"Oh, a  wallet,  made of leather.","O, piniginė, ir odinė."
307-315,Who is it  for.,Kam tai?
307-315,"For  Max, for  his birthday.","Maksui, jo  gimtadienis."
307-315,I bought a  spectacle case made from a nice piece of cloth for him; and from his girlfriend he is  getting a genuine silver ring.,O aš nupirkau jam dėklą akiniams iš gražios medžiagos o nuo  savo mergaitės jis gaus tikrą sidabrinį žiedą.
307-315,Really?,Tikrai?
307-315,"Yes, made of  real silver.","Taip, tikrą sidabrinį."
307-315,He is well off  this year.,Jam sekasi  šiemet.
316-325,To  describe a person,Apibūdinti asmenį
316-325,Could you  please meet my uncle at 12.57?,Ar negalėtum 12.57 sutikti mano dėdę?
316-325,I'm  busy.,Aš neturiu  laiko.
316-325,"From the  station, you mean?","Turi galvoje,  nuo stoties?"
316-325,"Okay, what  does he look like?","Na gerai, o  kaip jis atrodo?"
316-325,"He is very  tall, about 6', and he's rather fat.","Jis labai  aukštas, apie 1,8 m, ir pilnas"
316-325,Does he wear  glasses?,Ar jis  nešioja akinius?
316-325,"Yes, and he is  always very elegantly dressed. Most of the time in a dark suit, and he is always carrying  a briefcase.","Taip, jis visada apsirengęs elegantiškai. Dažniausiai tamsiu  kostiumu, visada su portfeliu."
316-325,There are  hundreds of those types. What's his name then?,Tokių šimtai. Koks gi jo vardas ir pavardė?
316-325,"Heinrich  Meier, the same as me.","Henrikas  Mejeris, kaip ir aš."
326-341,Get  well wishes,Palinkkėimai pasveikti.
326-341,Have you  anything planned for today?,Ar ką nors šiandien planavai?
326-341,"Yes, I have to  go to the hospital.","Taip, turiu nueiti į ligoninę."
326-341,"Oh, what's  hapenned then?",O kas  atsitiko?
326-341,My granndad is  in hospital.,Mano senelis ligoninėje.
326-341,I'm going to  visit him,Norėčiau jį aplankyti.
326-341,"He's had an  accident, you know.","Tu gi žinai, jis buvo papuolęs į avariją."
326-341,"Oh,  dear, how  is he then?",O kaip jis  dabar?
326-341,"He's better  now, thank goodness.","Ačiū Dievui, dabar jaučiasi geriau."
326-341,"He has had a  car accident, you know,","Tai buvo automobilio avarija, tu žinai."
326-341,"Well, when I  think of it, I feel sort of queasy.(lit.)","Kai aš apie  tai galvoju, man tiesiog bloga."
326-341,"I'm sorry for  him. He meant to fly to Zurich, didn't he?","Man gaila. Jis norėjo į Ciuriką skrįsti, ar ne?"
326-341,Yes today  (exactly). He was really unfortunate.,"Tiksliai,  šiandien. Jam tiesiog nepasisekė."
326-341,Ich wish him a  speedy recovery.,Linkiu jam kuo greičiau pasveikti.
326-341,Thanks. Bye  for now.,Ačiū. Kol kas.
326-341,Cheers.,Iki.
342-354,The  mysterious briefcase,Paslaptingas  portfelis
342-354,"Well,  Mrs. B.  I say, your briefcase looks very smart.","O, ponas B., Jūsų portfelis atrodo labai įdomiai."
342-354,What have you  got in it?,Ką Jūs ten turite?
342-354,"I don't know  myself, actually.",Aš iš tikrųjų pats nežinau.
342-354,What? Do you  mean that you don't know what's in your case?,"Ką? Jūs sakote, kad pats nežinote, ką turite portfelyje?"
342-354,That's what I  said.,"Taip, kaip girdėjote."
342-354,Don't you want  to know it?,Ir nenorite žinoti?
342-354,Of course I do.,"Žinoma, noriu."
342-354,Then I would  certainly feel better.,Jausčiausi tada geriau.
342-354,Why don't you  have a look then?,Tai kodėl tada nepažiūrite?
342-354,"Okay then;  here, look for yourself.","Gerai,  pažiūrėk pats."
342-354,"Only papers,  nothing but papers.","Nieko, tik  popieriai."
342-354,Are you  feeling better now?,Ar dabar Jums  geriau?
355-369,"At a  Party,  talking about a family.","Vakarėlyje,  apie šeimą"
355-369,We haven't seen  each other for ages. How are your children?,Šimtą  metų nesimatėme. Kaip Jūsų vaikai?
355-369,"You have got  two,  haven't you?","Jūs  turite du, ar ne?"
355-369,That's  right.  Since we last met my daughter has married.,"Taip.  Nuo to laiko, kai buvome susitikę, mano duktė ištekėjo."
355-369,"Your daughter is  a doctor, isn't she?","Jūsų  duktė gydytoja, ar ne?"
355-369,"No, my wife is a  doctor.","Ne,  mano žmona yra gydytoja."
355-369,"My daughter is  still at university, and my son as well.","Mano  duktė dar studijuoja universitete, taip pat ir sūnus."
355-369,What do they  study then?,Ką jie  studijuoja?
355-369,Both the same  subject.,Abu  tą patį dalyką.
355-369,Business  management.,Vadybą.
355-369,And your  children? What do they do?,O  Jūsų vaikai? Ką jie veikia?
355-369,I have no  children.,Aš  neturiu vaikų.
355-369,"I'm not  married, either.",Ir  nesu vedęs.
355-369,You must be  thinking of my sister.,Jūs  tikriausiai galvojate apie mano seserį?
355-369,She has two  children.,Ji turi du  vaikus.
370-376,Holidays,Atostogos
370-376,How was your  holiday then?,Kaip Tavo  atostogos?
370-376,Great. We've been  to South Germany by car.,Puikiai.  Mes keliavome po pietinę Vokietiją automobiliu.
370-376,I don't know  South Germany.,Aš  visai nežinau pietinės Vokietijos.
370-376,"Oh, the area is  wonderful! Meadows, woods, mountains, mountain lakes. We loved it!","O,  vietos puikios! Pievos, miškai, kalnai, ir ežerai. Mums labai patiko."
370-376,What was the  weather like?,O koks buvo  oras?
370-376,We had 7 days  rain and 3 days of sunshine!,"Septynias  dienas lijo, o tris - švietė saulė!"
377-386,Plans for a  picnic. Making sugestions.,Iškylos  planavimas. Pasiūlymai.
377-386,Are you  hungry?  Or not yet?,"Ar Tu jau  alkanas, ar dar ne?"
377-386,I'm hungry and  thirsty.,Aš  alkanas ir ištroškęs.
377-386,Shall we have our  picnic?,Ar jau  valgysime?
377-386,That's a great  idea. Where shall we have the picknic?,Tai  puiki mintis. Kur bus mūsų piknikas?
377-386,I suggest in the  court gardens.,Siūlau  pilies sode.
377-386,"Yes, that's  grand. Afterwards we can go inside and have a look around. I would like to see the  porcelain collection.","O,  mes galime eiti į vidų ir apžiūrėti pilį. Aš norėčiau pamatyti porceliano  kolekciją."
377-386,It's very  famous.  It contains all the original pieces from the 18th century.,"Ji  gana garsi. Visi daiktai originalūs, iš 18 amžiaus."
