range,en,lt,translated_text
54-71,Is this your's first visit to Vilnius?,Ar Jūs pirmą kartą Vilniuje?,Ar tai pirmasis Jūsų vizitas Vilniuje?
54-71,"Yes, I like Vilnius","Taip, man patinka Vilnius","Taip, man patinka Vilnius"
54-71,Do you understand my Lithuanian?,Ar Jūs mane suprantate?,Ar suprantate mano lietuvybę?
54-71,"Yes, your Lithuanian is good","Taip, Jūs puikiai kalbate lietuviškai.","Taip, tavo lietuvis yra geras"
54-71,"I can understand a lot, but please speak slowly","Taip, aš daug suprantu, bet kalbėkite lėčiau prašom","Aš galiu daug ką suprasti, bet prašau kalbėti lėtai."
72-77,The Clock.,Laikrodis,Laikrodis.
72-77,It is ten o'clock.,Dabar dešimt valandų.,Jau dešimta valanda.
72-77,It is ten fifteen.,Penkiolika minučių po dešimtos.,Tai yra dešimt penkiolika.
72-77,Quarter past ten.,Ketvirtis vienuoliktos.,Ketvirtis dešimto.
72-77,It is ten thirty or half past ten.,Dešimt valandų trisdešimt minučių arba puse vienuoliktos.,Dešimt ar dešimt dešimt.
72-77,It is ten forty five or quarter to eleven.,Dešimt valandų keturiasdešimt penkios minutės arba be penkiolikos  minučių vienuolika.,Tai yra dešimt keturiasdešimt penki ar ketvirtadalis vienuolika.
78-94,On telephone,Pokalbis telefonu,Telefonu
78-94,"Hello Sigita, here is Kathleen.","Sveika Sigita, čia Katlyna.","Sveiki, Sigita, čia yra Kathleen."
78-94,"Hello, how are things?","Sveika, kaip sekasi?","Sveiki, kaip viskas vyksta?"
78-94,"Fine, thank you.","Ačiū, puikiai.","Gerai, ačiū."
78-94,I'm going shopping in a minute.,Aš einu dabar apsipirkti.,Aš einu apsipirkti per minutę.
78-94,So am I. I'm going to the market.,Aš taip pat. Ruošiuosi eiti į turgų.,Aš irgi. Aš einu į turgų.
78-94,"Oh yes, today is market day.","O, šiandien juk turgaus diena.","Taip, šiandien yra rinkos diena."
78-94,Then I'll go to the market as well.,Tada aš irgi eisiu į turgų.,Tada aš taip pat eisiu į rinką.
78-94,Shall we meet?,Ar susitiksime?,Ar susitiksime?
78-94,Is that possible?,Ar tai įmanoma?,Ar tai įmanoma?
78-94,"Yes, that is possible. Where shall we meet then?","Taip, kur galėtumėm susitikti?","Taip, tai įmanoma."
78-94,At the first stall.,Prie pirmo prekystalio.,Pirmoje stotelėje.
78-94,When shall we meet?,Kada?,Kada mes susitiksime?
78-94,At 10 o'clock sharp. Is that all right?,Tiksliai dešimtą. Ar tinka?,10 valandą smailiai.
78-94,What's the time now?,Kiek dabar?,Koks dabar laikas?
78-94,Nearly ten.,Greitai dešimt.,Beveik dešimt.
78-94,Good-bye; see you in a minute then.,Iki. Greitai pasimatysime.,"Sudie, iki pasimatymo."
95-107,On the market,Turguje,Rinkoje
95-107,"Yum, the strawberries smell lovely.","Ach, kaip puikiai kvepia braškės.","Yum, braškės kvepia nuostabiai."
95-107,"Yes, strawberries are my favorite.","O, braškės mano mėgstamiausios uogos.","Taip, braškės yra mano mėgstamiausios."
95-107,"But Ana, the strawberries are not  fresh.","Bet Ana, braškės ne šviežios.","Bet Ana, braškės nėra šviežios."
95-107,Not fresh? What a pity!,Ne šviežios? Kaip gaila!,Ne šviežia? Kaip gaila!
95-107,At the vegetable stand,Prie daržovių prekystalio,Prie daržovių stovo
95-107,A long cucumber please.,Man prašau ilgą agurką.,Ilgą agurką prašau.
95-107,Anything else?,Dar ką nors?,Dar kas nors?
95-107,"Yes, A nice, lettuce  please.","Taip, prašau gražių salotų.","Taip, miela salota."
95-107,"Three Litas , please.",Trys litai.,"Trys litai, prašau."
95-107,Here is a twenty Litas  note.,Štai dvidešimt litų.,Štai ir dvidešimt litų banknotas.
95-107,"Thanks. And here's a ten Litas note and  one, two, three, four, five, six, seven Litas back.","Ačiū. Dešimt litų ir vienas, du,  trys, keturi, penki, šeši, septyni litai  grąžos.","Ir štai 10 litų banknotas ir vienas, du, trys, keturi, penki, šeši, septyni litai atgal."
95-107,Thank you.,Ačiū.,Ačiū.
108-128,At Sigita's,Pas Sigitą,Sigitos
108-128,I am hungry; you as well?,"Aš alkanas(-a), o tu?","Aš alkanas, tu irgi."
108-128,Yes. When is lunch then?,Taip. Kada priešpiečiai?,Kada pietaujama?
108-128,Any minute now. The sun is  shining. We could have lunch on the balcony.,Už kelių minučių. Saulė šviečia. Galėtumėm  valgyti balkone.,Bet kurią minutę. Saulė šviečia. Galėtume papietauti balkone.
108-128,Teriffic. I lay the table. What we have then?,Puiku. Aš padengsiu stalą. Ką mes valgysim?,"Terifiskai, aš padedu stalą."
108-128,"Cheese Šeduva, eggs and  salad. Would you like omelet?","Šeduvos sūrį, kiaušinius ir salotas.  Gal norėtum omleto?","Sūris Šeduva, kiaušiniai ir salotos. Ar norėtumėte omleto?"
108-128,"Omelet? Yuck, I don't like that.","Omleto? Ačiū, bet aš nemėgstu.","Omletas, man tai nepatinka."
108-128,I've got some rolls as well.,Aš dar turiu keletą bandelių,Aš taip pat turiu keletą ritinių.
108-128,"Yes, some rolls please.",Porą bandelių prašom.,"Taip, kai kurie ritinėliai prašom."
108-128,Can we meet this  morning?,Ar galėtumėm šiandien  susitikti?,Ar galėtume susitikti šį rytą?
108-128,"Yes, that's possible.","Taip, galim.","Taip, tai įmanoma."
108-128,At 9 o'clock perhaps?,Gal 9 valandą?,Gal devintą valandą?
108-128,"No, that won't do.","Ne, man netinka.","Ne, to nebus."
108-128,I want to go shopping first and the shops open at  8:30.,"Aš norėčiau eiti apsipirkti, o parduotuvės dirba nuo 8:30.","Pirmiausiai noriu apsipirkti, o parduotuvės atsidaro 8:30."
108-128,Half past ten is fine.,Tada būtų gerai puse  vienuoliktos.,Pusė dešimtuko yra gerai.
108-128,All right then. At 10:30.,"Puiku, puse vienuoliktos.","Gerai, 10:30."
108-128,Where shall we meet?,Kur mes susitiksime?,Kur mes susitiksime?
108-128,Perhaps in front of the Hermis bank?,Gal prie Hermio banko?,Gal prie Hermio banko?
108-128,"Oh no, not there.","Oi ne, ne ten.","Ne, ne ten."
108-128,"Better opposite, in the Cafe ""Neringa"".","Geriau kitoje pusėje, Neringos kavinėje.","Geriau priešingai, kavinėje ""Neringa""."
108-128,All right. I'll be there at half past ten.,"Gerai, aš būsiu ten puse  vienuoliktos.","Gerai, būsiu ten pusę dešimt."
129-139,In the men's outfitter's,Vyriškų drabužių  parduotuvėje,Vyrų apranga
129-139,Good afternoon.,Laba diena.,Laba diena.
129-139,What can I do for you?,Kuo galiu padėti?,Kuo galiu padėti?
129-139,I'd like a pair of socks. Cotton please.,Norėčiau keletą porų medvilninių  kojinių,Norėčiau poros kojinių.
129-139,What size do you take?,Kokio dydžio?,Kokio dydžio jūs vartojate?
129-139,I take shoe size 9-9,Aš nešioju 43 dydį.,Batų dydis 9-9
129-139,These here are all 70% cotton and 30% nylon.,Štai šitose yra 70% medvilnės  ir 30% neilono.,Tai yra 70% medvilnės ir 30% nailono.
129-139,We don't have any in pure. They are not very  practical either.,Mes neturime grynai medvilninių.  Jos nepraktiškos.,Mes neturime nieko gryno. Jie taip pat nėra labai praktiški.
129-139,I am sorry.,Atsiprašome.,Atleiskit.
129-139,"Yes, that's a pity!",Gaila.,"Taip, tai gaila!"
129-139,Good bye,Viso gero.,Viso gero
140-148,"In the Cafe ""Neringa"", ordering a cup of coffee","Neringos kavinėje, kavos užsakymas","Kavinėje ""Neringa"", užsakant puodelį kavos"
140-148,May I invite you to a cup of coffee?,Galiu Jus pakviesti puodukui  kavos?,Ar galiu pakviesti jus į puodelį kavos?
140-148,Thank you. That's nice of you.,"Ačiū, Jūs labai maloni.","Ačiū, tai malonu iš jūsų pusės."
140-148,The cakes are very good.,Pyragaičiai labai skanūs.,Pyragai yra labai geri.
140-148,Would you like a piece?,Norite dar gabaliuko?,Ar norėtumėte gabalo?
140-148,"No thank you. Only a cup of black coffee, please.","Ne, ačiū. Tik juodos kavos,  prašom.","Ne, ačiū, tik puodelį juodos kavos."
140-148,"Waiter! A cup of coffee without cream and a little jug of coffee, please.","Padavėjau, puodelį juodos kavos  be grietinėlės ir kavinuką kavos  prašom.","Padavėjau, kavos puodelis be grietinėlės ir truputis kavos."
140-148,Could you please pass the sugar?,Galite man paduoti cukraus?,Ar galėtumėte atsisakyti cukraus?
140-148,Here you are.,Prašau.,Štai kur tu.
149-160,At a Party,Priėmime,Vakarėlyje
149-160,Here is the wine.,Štai vynas.,Štai ir vynas.
149-160,Would you like some?,Ar norėtumėte?,Ar norėtum?
149-160,Yes please.,"Taip, prašau.",Prašau.
149-160,Here comes our hostess.,Ateina mūsų šeimininkė.,Štai ir mūsų šeimininkė.
149-160,"Good arternoon, Mr Becker.","Laba diena, ponia Becker.","Geras arternoon, pone Bekeri."
149-160,I'm glad to see you.,Malonu Jus matyti.,Džiaugiuosi tave matydamas.
149-160,"It is very warm today, don't you think so?","Labai šilta šiandien, ar ne  tiesa?","Šiandien labai karšta, ar ne?"
149-160,"Yes, very warm indeed. I don't mind warm weather.","Taip, iš tikrųjų. Bet aš mėgstu šiltą orą.","Taip, tikrai labai šilta."
149-160,It is really hot today.,Tikrai karšta šiandien.,Šiandien tikrai karšta.
149-160,You are wearing a jacket and tie.,Jus su švarku ir kaklaraiščiu.,Jūs dėvite striukę ir kaklaraištį.
149-160,You may take your jacket off if you want to.,"Galite nusirengti, jei norite.","Jei norite, galite nusivilkti striukę."
161-171,In the Department  Store; to try something on,Universalinėje parduotuvėje; ką nors pasimatuoti,Parduotuvėje; išbandyti ką nors
161-171,This dress is size 40.,Ši suknelė 40 dydžio.,Suknelė yra 40 dydžio.
161-171,That is too small for me.,Ji per maža man.,Man tai per maža.
161-171,Have you not got it in 42?,Ar neturite 42 dydžio?,Ar jūs neturite 42?
161-171,No I'm sorry.,"Gaila, neturime.","Ne, atleisk."
161-171,But do try it on.,Bet pasimatuokite.,Bet pabandykite.
161-171,It might fit.,Gal tiks.,Gali tikti.
161-171,All right then.,Na gerai.,Gerai tada.
161-171,Where is the changing room?,Kur galima  pasimatuoti?,Kur yra persirengimo kambarys?
161-171,"Over there, next to the  large mirror.","Štai ten, prie didelio veidrodžio.","Ten, šalia didelio veidrodžio."
161-171,Thank you,Ačiū.,Ačiū
172-184,Hotel  Astoria. To reserve room (by telephone),Viešbutis Astorija. Užsakyti kambarį (telefonu),Viešbutis Astoria. Rezervuoti kambarį (telefonu)
172-184,"Hotel  Astoria, Berlin, can I help you?","Viešbutis Astorija, Berlynas. Kuo galiu Jums padėti?","Hotel Astoria, Berlin, kuo galiu padėti?"
172-184,Have you any  vacancies?,Ar  turite laisvų kambarių?,Ar turite laisvų darbo vietų?
172-184,"Yes, we  have.","Taip, turime.","Taip, turime."
172-184,When would you  want them?,Kada norėsite?,Kada jų norėtumėte?
172-184,"Tomorrow night  untill Thursday, for one night.","Rytoj  vakare iki ketvirtadienio, vienai nakčiai.","Rytoj naktį iki ketvirtadienio, vienai nakčiai."
172-184,"Yes, we we've  still got rooms.",Taip dar turime laisvų kambarių.,"Taip, mes vis dar turime kambarius."
172-184,What kind of  room would you like?,Kokio Jūs norėtumėte?,Kokio kambario norėtumėte?
172-184,"Two single  rooms with bathroom, please.",Dvi vienutes su  voniomis.,Du vienviečiai kambariai su vonios kambariu.
172-184,Two single  with bath. O.K. What's the name please?,Dvi  vienutes su voniomis? Jūsų pavardė?,Du viensėdžiai su vonia.
172-184,Wilson und  Holz. It's Miss Holz and myself.,Vilsonas ir  Holzas. Tai ponia Holz ir aš.,"Vilsonas ir Holcas, čia panelė Holz ir aš."
172-184,"I've written  it down, Mr.Wilson. Please report at the reception by 2 p.m. tomorrow. Otherwise we do not  guarantee the booking.","Aš užrašiau, ponas  Vilsonai. Prašau rytoj kreiptis į  registratūrą iki 14 val. Kitaip mes negarantuojame Jums kambario.","Aš tai užrašiau, pone Vilsonai, prašome iki rytojaus 14 val. pranešti registratūroje, kitaip mes negarantuojame užsakymo."
172-184,Thank  you; good-bye.,"Ačiū, viso gero.","Ačiū, viso gero."
185-191,A telegram; reading a message.,Telegramos  perskaitymas,"Telegrama, skaitanti žinutę."
185-191,Here  is a telegram for you.,Čia yra telegrama Jums.,Štai jums ir telegrama.
185-191,For  me? How strange. Who sent it?,Man?  Keista. Nuo ko?,"Kaip keista, kas man atsiuntė?"
185-191,How  should I know? Open it and read it!,Aš nežinau. Atidaryk ir perskaityk!,Kaip man žinoti? Atidarykite ir perskaitykite!
185-191,Arrive  one day later - stop -please stay in Berlin - stop - sightseing perhaps? - stop - See you  later - stop - Peter H.,Atvykstu viena diena vėliau - taškas - pasilik Berlyne - taškas  - gal pasižvalgyk mieste - taškas - Pasimatysime - taškas - Peter H.,Atvykimas vieną dieną vėliau - stop -prašom likti Berlyne - stop - taikingeing gal? - stop - Iki pasimatymo vėliau - stop - Peter H.
185-191,"Well,  are you staying?","Taigi,  pasilieki?","Na, ar tu pasiliksi?"
185-191,Of  course I am!,"Na, žinoma!","Žinoma, kad esu!"
192-197,Another  message...Reading a bizarre message.,Dar viena žinutė,Kitas pranešimas...Skaitykite keistą pranešimą.
192-197,Have a  listen:  Do I come? - or do you come? Over the weekend or on Friday? In the castle or in the court  gardens? Where shall we meet?,"Klausyk,  aš atvykstu ar Tu atvyksti? Savaitgalyje ar penktadienį?  Pilyje ar pilies sode? Kur susitinkame?",Ar klausyti: Ar aš atėjau? - ar tu ateini? Savaitgalį ar penktadienį? Pilyje ar teismo soduose? Kur mes susitiksime?
192-197,Who's sent  that then?,Kas tai siunčia?,Kas tada jį atsiuntė?
192-197,"I don't  know,  no idea. Perhaps a ghostwriter?",Neįsivaizduoju. Gal dvasia?,"Nežinau, neįsivaizduoju, gal vaiduoklių rašytojas?"
192-197,Very  strange!,Labai keista!,Labai keista!
192-197,Exactly as in  a thriller.,Kaip  detektyve.,"Lygiai taip pat, kaip ir trileryje."
198-204,There's no  parking here!,Čia  mašinas statyti draudžiama.,Čia nėra automobilių stovėjimo aikštelės!
198-204,I didn't know  that. I will drive off immediatly.,Aš  nežinojau. Aš tuoj pat išvažiuosiu.,"Aš to nežinojau, aš tuoj pat išvažiuosiu."
198-204,On weekends you  can park here.,Savaitgaliais  galima.,Savaitgaliais čia galima parkuoti.
198-204,And what day is  it today?,O kokia  šiandien diena?,O kokia šiandien diena?
198-204,Today is  Wednesday.,Trečiadienis.,Šiandien trečiadienis.
198-204,Wha t a  pity! But  I can't wait for 2 days!,Gaila. Bet aš  negaliu dvi dienas laukti.,"Ką gi, gaila! Bet aš negaliu laukti 2 dienų!"
198-204,And you are not  allowed to do so either!,"Gaila,  bet niekuo negaliu padėti.",Ir jūs taip pat negalite to padaryti!
205-218,Enquiring about public transport,Paklausti apie viešąjį transportą,Klausinėja apie viešąjį transportą
205-218,Where  do you want to go?,Kur Jūs norėtumėte nueiti?,Kur nori eiti?
205-218,To  the castle please.,Į pilį.,Į pilį prašau.
205-218,By  tube or bus?,Metro ar autobusu?,Tube ar autobusu?
205-218,Which  is the best?,O kaip geriau?,Kuris yra geriausias?
205-218,"By  tube it's faster, but the bus is cheaper.","Metro  - greičiau, o autobusu - pigiau.","Vamzdžiu jis greitesnis, bet autobusas pigesnis."
205-218,I'll  take the bus.,Tada autobusu.,Aš važiuosiu autobusu.
205-218,Which  number (bus) is it please?,Kuris autobusas?,Koks skaičius (autobusas) yra tinkamas?
205-218,Number  48; it goes directly to the castle.,48 numeris važiuoja  tiesiai prie pilies.,48 – eina tiesiai į pilį.
205-218,Where  is the stop?,Kur sustojimas?,Kur yra stotelė?
205-218,"The  stop is right here, at the corner, on tie right hand side.","Sustojimas čia pat, už kampo, dešinėje pusėje.","Sustojimas yra čia, kampe, ant kaklaraiščio dešinėje pusėje."
205-218,"Oi the right, yes of cource, I almost forgot about that.",Dešinėje? Aš visai užmiršau.,"Taip, taip, teisingai, beveik pamiršau."
205-218,Many thanks.,Didelis ačiū.,Labai ačiū.
205-218,You're welcome.,Nėr už ką.,Nėra už ką.
219-229,Describing  an accident,Avarija,Apibūdinti avariją
219-229,What was that?,Kas atsitiko?,Kas tai buvo?
219-229,"An accident,  in Kantstrasse.",Avarija Kanto gatvėje.,Avarija Kanto gatvėje.
219-229,How did it happen?,Kaip tai  buvo?,Kaip tai nutiko?
219-229,The traffic  lights at the crossing are not working. Three cars have collided.,Šviesoforas kryžkelėje nedirba. Susidūrė trys  automobiliai.,Šviesoforai sankryžoje neveikia. Trys automobiliai susidūrė.
219-229,Is somebody injured?,Ar kas nors sužeistas?,Ar kas nors sužeistas?
219-229,"Yes, two  drivers are badly injured' the other passengers only slightly, thank goodness.","Taip, du vairuotojai sunkiai sužeisti, ačiū Dievui - kiti nesunkiai.","Taip, du vairuotojai yra sunkiai sužeisti"", kiti keleiviai tik šiek tiek, ačiū Dievui."
219-229,Whenn did it  happen then?,Kada tai  atsitiko?,Kada tai įvyko?
219-229,Ten minutes  ago. Somebody rang the ambulance.,Prieš dešimt minučių. Kažkas iškvietė greitąją.,Prieš dešimt minučių kažkas paskambino greitajai pagalbai.
219-229,It will be  here soon.,Ji greitai  atvyks.,Jis bus čia netrukus.
219-229,"I hope so. The  traffic looks like chaos, don't you think?","Tikėkimės. Toks didelis judėjimas, ar ne?","Tikiuosi, eismas atrodo kaip chaosas, ar ne?"
230-248,Difficulties  on the phone (to complain about an order,Apie  nesusipratimus telefonu,Sunkumai telefonu (skundas dėl užsakymo
230-248,"Sauer & Co., hello.","Alio, Sauer  & Co.","Sauer & Co., labas."
230-248,Good morning.  Becker fashions. We received your parcels this morning.,Labas rytas. Bekerio mados. Šiandien gavome Jūsų siuntinį.,"Labas rytas, Beker mados, šįryt gavome jūsų siuntinius."
230-248,Which parcel  are you talking about?,Apie kurį siuntinį Jūs kalbate?,Apie kokią siuntinį kalbate?
230-248,The delivery  of socks.,Siuntinys su kojinėmis.,Kojinių pristatymas.
230-248,Now I remember. Good.,Prisimenu.,Dabar aš prisimenu.
230-248,I'm pleased.,"Gerai, kad  gavote.",Aš patenkinta.
230-248,"No, not good  at all.",Visai ne  gerai.,"Ne, visai neblogai."
230-248,There are as  many as 300 pairs of grey socks.,Jame 300 porų pilkų kojinių.,Yra net 300 porų pilkos kojinės.
230-248,That's right.,Teisingai.,Teisingai.
230-248,"No, it's not  right. Miss...","Ne,  neteisingai, panele...","Ne, netiesa, panele..."
230-248,"Mrs., if you  please, Mrs. Ernst.",Ponia...  Ponia Ernst.,"Ponia, jei tik panorėsite, ponia Ernst."
230-248,"Mrs. Ernst, we  didn't actually order 300 pairs of grey socks.","Ponia Ernst, mes iš tikrųjų neužsakėme 300 porų pilkų kojinių.","Ponia Ernstai, mes iš tikrųjų neužsakėme 300 porų pilkų kojinių."
230-248,"Oh, yes, you  did. I've got it here in the books.",Užsakėte. Aš matau knygoje.,"O, taip, tu tai padarei, aš turiu tai čia, knygose."
230-248,"Mrs. Ernst,  something must be wrong there. We ordered 30 pairs of grey socks, not 300.","Ponia Ernst, kažkas čia negerai. Mes užsakėme 30 porų pilkų kojinių, o  ne 300.","Ponia Ernst, kažkas čia negerai, mes užsisakėme 30 porų pilkų kojinių, o ne 300."
230-248,Not 300 then?,Ne 300?,Ne 300?
230-248,"Oh well, send  those you don't want back to us.","Ach, išsiųskite mums, jeigu Jūs jų nenorite.","Na, siųsk tuos, kurių nenori mums grąžinti."
230-248,Goodbye.,Viso gero.,Viso.
230-248,"I don't know  what to say, but what I can do?","Aš tiesiog nežinau, ką pasakyti. Bet ką aš galiu padaryti?","Nežinau, ką pasakyti, bet ką daryti?"
249-261,A meeting  on the plane,Susitikimas lėktuve,Susitikimas lėktuve
249-261,"Hello, Mrs Schmidt.","Sveika, ponia  Šmidt.","Sveiki, ponia Šmidt."
249-261,What a  surprise to meet you here on the plane!,Koks netikėtumas Jus čia lėktuve sutikti!,"Kokia staigmena, kad jūs esate lėktuve!"
249-261,Yes. Isn't it?,Tikrai?,"Taip, ar ne?"
249-261,How are you?,Kaip sekasi?,Kaip tu?
249-261,"I'm fine  thanks, and how are you?","Puikiai, o  Jums?","Ačiū, viskas gerai, o kaip tu?"
249-261,Where are you  going to?,Kur Jūs vykstate?,Kur tu eini?
249-261,I'm going to  visit my son. He is living in Switzerland now. And what about you?,Ruošiuosi aplankyti savo sūnų. Jis gyvena Šveicarijoje. O Jūs?,"Aš aplankysiu savo sūnų, jis dabar gyvena Šveicarijoje, o kaip tu?"
249-261,I'm on  business again. I often fly on this route.,Aš vėl komandiruotėje. Aš dažnai skrendu šiuo maršrutu.,"Aš vėl dirbu, dažnai skrendu šiuo maršrutu."
249-261,I see. How  often then?,Matau. Kaip dažnai?,"Matau, kaip dažnai?"
249-261,About 2-3  times per month.,Maždaug tris kartus per mėnesį,2-3 kartus per mėnesį.
249-261,I'm only  flying for the second time today!,O aš skrendu šiandien antrą kartą!,Šiandien aš skraidau antrą kartą.
249-261,No wonder that  we don't meet more then!,"Ne nuostabu, kad mes ne dažnai susitinkame!","Nenuostabu, kad mes daugiau nebesusitinkame!"
262-273,Talking  about interests,Pokalbis apie pomėgius,Kalbėti apie interesus
262-273,What are you  interested in?,Kuo Jūs domitės?,Kas jus domina?
262-273,That depends.  I'm interested in many things.,Kaip čia pasakius? Aš domiuosi daugeliu dalykų.,"Tai priklauso nuo to, man rūpi daug dalykų."
262-273,Are you  interested in art?,Ar Jūs domitės menu?,Ar domitės menu?
262-273,What kind of  art do you mean?,Žiūrint ką Jūs turite galvoje?,Kokį meną turi omenyje?
262-273,Paintings.,Tapybą.,Paveikslai.
262-273,"Oh yes, I'm  very interested in paintings.",O taip. Man  patinka tapyba.,"Taip, mane labai domina paveikslai."
